Reflex,Etyma
aardvark,"4. er- , pork̑o-s"
aardwolf,"4. er- , u̯l̥ku̯os"
abaft,apo-
abandon,2. bhā-
abasia,gu̯ā-
abbreviate,mreg̑hu-
abdicate,deik̑-
abdomen,2. dhē-
abducens,deuk-
abducent,deuk-
abduct,deuk-
abele,albho-
aberrant,2. ere-s-
aberration,2. ere-s-
abessive,es-
abet,bheid-
abhor,g̑hers-
abide,1. bheidh-
abject,i̯ē-
abjure,i̯eu̯os-
ablate,1. tel-
ablation,1. tel-
ablative,1. tel-
ablaut,"apo- , 1. k̑leu-"
able,ghabh-
ablution,lou-
abnegate,1. nĕ
abnormal,2. g̑en-
abode,1. bheidh-
abolish,2. al-
abort,3. er-
abound,9. au̯(e)-
about,ū̆d-
above,upo
abrade,2. rēd-
abridge,mreg̑hu-
abrogate,1. reg̑-
abrupt,"apo- , 2. reu-"
abscess,sed-
abscind,(s)k(h)ai-
abscise,(s)k(h)ai-
abscissa,(s)k(h)ai-
abscission,(s)k(h)ai-
abscond,2. dhē-
absent,es-
absolute,2. leu-
absolve,2. leu-
absorb,srebh-
absorption,srebh-
abstain,1. ten-
abstract,trāgh-
abstruse,tr-eu-d-
absurd,2. su̯er-
abulia,2. gu̯el-
abundant,9. au̯(e)-
abut,1. bhā̆u-
abyss,bhudh-m(e)n
ab-,apo-
acanthopterygian,2. pet-
acapnia,keu̯əp-
accede,sed-
accelerate,5. kel-
accent,kan-
accept,kap-
access,sed-
accidental,1. k̑ad-
accident,1. k̑ad-
accipiter,ōk̑ú-s
acclaim,6. kel-
acclimate,k̑lei-
acclivity,k̑lei-
accolade,1. ku̯el-
accommodate,1. med-
accomplish,1. pel-
accord,k̑ered-
accost,kost-
account,2. peu-
accouter,si̯ū-
accrete,2. k̑er-
accretion,2. k̑er-
accrue,2. k̑er-
accumulate,1. k̑eu-
accurate,kois-
acerate,2. ak̑-
acerbic,2. ak̑-
acerose,2. ak̑-
acetabulum,2. ak̑-
acetic,2. ak̑-
acetous,2. ak̑-
acetum,2. ak̑-
achene,2. g̑hē-
Acheron,eg̑hero-
ache,agos-
achieve,kap-ut
acholia,1. g̑hel-
achromatic,2. ghrēu-
acicula,2. ak̑-
acidanthera,andh-
acidic,2. ak̑-
acid,2. ak̑-
acknowledge,2. g̑en-
acme,2. ak̑-
acne,2. ak̑-
acoelomate,1. k̑eu-
acolyte,2. sem-
acorn,ōg-
acoustic,1. keu-
acquaint,2. g̑en-
acquiesce,ku̯ei̯ə-
acquit,ku̯ei̯ə-
acre,ag̑ro-s
acrid,2. ak̑-
acrimony,2. ak̑-
acrobat,"2. ak̑- , gu̯ā-"
