bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অংশ,oŋɕɔ,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,Part,,
অকালে,okal̪e,অকালে,ɔkɐle,অখালে,ɔkʰɐle,অকালে,ɔkɐle,অকালে,ɔkɐle,বুড়,buɽ,At a time,,
অক্টোবরে,oktobre,অক্টোবরে,ɔktobɔɾe,অক্টোবরো,ɔktobɔɾo,অক্টোবরে,cɐhɪd̪ɐ,অক্টোবর,ɔktobɔɾ,চাহিদা,cɐhɪd̪ɐ,In October,,
অঘটন,o̤ɡ̤ɔtɔn̪ɔ,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,দূর,d̪uɾ,Disagreement,,
অচেনা,ot͡ɕen̪a,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,যেতাগোরে,ɟet̪ɐgoɾe,অচেনা,ɔcenɐ,Strange,,
অঞ্চল,ont͡ɕɔl̪ɔ,অঞ্চল,ɔncɔl,দু্র্যোগ,d̪uɾɟog,অঞ্চল,ɔncɔl,প্রভন,pɾobʱon,আঞ্চল,ɐncɔl,Region,,
অঞ্চলের,ont͡ɕɔl̪erɔ,এলাকার,elɐkɐɾ,জেগার,ɟegɐɾ,অঞ্চলের,ɔncoleɾ,অঞ্চলের,ɔncoleɾ,অঞ্চল,ɔncɔl,Region,,
অত,ot̪ɔ,অত,ɔt̪o,দিকে,d̪ɪke,অত,ɔt̪o,অত,ɔt̪o,দিকত,d̪ɪkɔt̪o,So,,
অতিরিক্ত,ot̪irikt̪ɔ,বেশি,beʃɪ,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,Excessive,,
অতীতে,ot̪it̪e,আগেরকালে,ɐgeɾkɐle,জীবনো,zɪbɔno,অতীতে,ot̪ɪt̪e,অতীতে,ot̪ɪt̪e,ফুনি,funɪ,In the past,,
অত্যন্ত,ot̪d͡zɔn̪t̪ɔ,বেমালা,bemɐlɐ,খুব,xub,মেলা,mɛlɐ,অন্যন্ত,ɔnnont̪o,উফকারি,upʰkɐɾɪ,Highly,,
অত্যাচার,ot̪d͡zat͡ɕarɔ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,আত্যসার,ɐt̪t̪oʃɐɾ,Oppression,,
অথচ,ot̪ʰɔt͡ɕɔ,তয়,t̪ɔe̯,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অতচ,ɔt̪oc,Yet,,
অথবা,ot̪ʰba,নইলে,no͡ɪ̯le,নায়,nɐe̯,অথবা,ɔt̪ʰobɐ,নইলে,no͡ɪ̯le,নাকি,nɐkɪ,Or,,
অদ্ভুত,od̪b̤ut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪vut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪bʱut̪,অদবুত,ɔd̪obut̪,Strange,,
অনার্স,on̪ars̪ɔ,অনার্স,ɔnɐɾs,সময়,ʃɔmɔe̯,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs,Honors,,
অনুপ্রেরণা,on̪uprerna,অনুপ্রেরণা,onupɾeɾonɐ,চলার,cɔlɐɾ,অনুপ্রেরণা,onupɾeɾonɐ,অনুহেরোনা,onuheɾonɐ,যাইবার,zɐ͡ɪ̯bɐɾ,Inspiration,,
অনুভুতির,on̪ub̤ut̪irɔ,অনুভূতির,onubʱut̪ɪɾ,অনুভুতির,onubʱut̪ɪɾ,সেই,ʃe͡ɪ̯,অনুভূতির,onubʱut̪ɪɾ,ইয়ান,ɪʲɐn,Feeling,,
অনুভুতী,on̪ub̤ut̪i,অনুভূতি,onubʱut̪ɪ,অনুভূতি,onubʱut̪ɪ,অনুভুতী,onubʱut̪ɪ,কাম,kɐm,অনূবুতি,onubut̪ɪ,Perceived,,
অনুমতি,on̪umt̪i,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,চাই,cɐ͡ɪ̯,অনুমতি,onumot̪ɪ,Permission,,
অনুমতির,on̪umt̪irɔ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,Permission,,
অনুযায়ী,on̪ud͡zae̯i,মত,mɔt̪,অনুযায়ী,onuɟɐʲɪ,অনুযায়ী,onuʲɐʲɪ,অনুযায়ী,onuʲɐʲɪ,মত,mɔt̪,Accordingly,,
অনেক,on̪ek,ম্যালা,mɛlɐ,অনেখ।,ɔnekʰ।,অনেক,ɔnek,অনেক,ɔnek,বালোবাসে,bɐlobɐʃe,Many,,
অনেক,on̪ekɔ,বেমালা,bemɐlɐ,অনেক,ɔnek,অনেক,ɔnek,মেলা,mɛlɐ,বহুত,bohut̪,Many,,
অনেকগুলো,on̪ekɡul̪o,বেমালা,bemɐlɐ,বাক্কা,bɐkkɐ,অনেকগুলা,ɔnekgulɐ,মেলাগুন,mɛlɐgun,বউত,bɔ͡u̯t̪o,A lot of,,
অনেকটাই,on̪ektai,অনেক,ɔnek,বাক্কা,bɐkkɐ,অনেকটাই,d̪uɾbol,অনেকটাই,ɔnektɐ͡ɪ̯,দুরবল,d̪uɾbol,Much,,
অনেকদিন,on̪ekd̪in̪ɔ,অনেকদিন,ɔnekd̪ɪn,বাক্কা,bɐkkɐ,মেলাদিন,ɐge,বহুত,bohut̪,বউদ্দিন,bɔ͡u̯d̪d̪ɪn,Many days,,
অনেকবার,on̪ekbarɔ,বেমালাবার,hɔgɔldɪ,বাক্কাবার,bɐkkɐbɐɾ,অনেকবার,ɔnekbɐɾ,অনেকবার,ɔnekbɐɾ,বহুবার,bohubɐɾ,Many times,,
অনেকে,on̪eke,বেবাকে,bebɐke,বহুতে,bohut̪e,অনেকে,ɔneke,মেলা,mɛlɐ,বউতকিয়ায়,bɔ͡u̯t̪okɪʲɐe̯,Many,,
অনেকেই,on̪ekei,অনেক,ɔnek,অনেকই,ɔnekɪ,অনেকেই,ɔneke͡ɪ̯,মেলা,mɛlɐ,অনেকেই,ɔneke͡ɪ̯,Many,,
অনেকের,on̪ekerɔ,অনেকের,ɔnekeɾ,বউত,bɔ͡u̯t̪o,অনেকের,ɔnekeɾ,অনেকের,ɔnekeɾ,বেগ্গুনুরতুন,beggunuɾt̪un,Many,,
অন্তত,on̪t̪ɔt̪ɔ,খালি,kʰɐlɪ,নাওয়,nɐ͡o̯e̯,অন্তত,ɛktɐ,এগগা,ɛggɐ,এক্কান,ɛkkɐn,At least,,
অন্য,on̪d͡zɔ,অন্য,ɔnno,অন্য,ɔnno,বিছানাত,bɪcʰɐnɐt̪o,কারর,kɐɾoɾ,হনো,hono,Another,,
অন্যকে,on̪d͡zɔke,অন্যরে,ɔnnoɾe,অন্যকে,ɔnnoke,অন্যরে,ɔnnoɾe,আরিকগা,ɐɾɪkgɐ,অন্যরে,ɔnnoɾe,To the other,,
অন্যদিকে,on̪d͡zɔd̪ike,অন্যদিক,ɔnnod̪ɪk,আরেক,ɐɾek,আরেকদিকে,ɐɾekd̪ɪke,অন্যদিকে,ɔnnod̪ɪke,এডে,ede,On the other hand,,
অন্যভাবে,on̪d͡zɔb̤abe,অন্যভাবে,ɔnnobʱɐbe,অইন্যভাবে,ɔ͡ɪ̯nnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,ভাবে,vɐbe,Otherwise,,
অন্যায়,on̪d͡zae̯ɔ,অন্যায়,ɔnnɐe̯,ওতো,ot̪o,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯,Wrong,,
অন্যের,on̪d͡zerɔ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,আন্য,ɐnno,Another,,
অপমান,opman̪ɔ,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অফমান,ɔfɔmɐn,Insult,,
অপরকে,opɔrɔke,আরেকজনের,ɐɾekɟɔneɾ,আরোখজনর,ɐɾoxzɔnɾ,আরেকজনের,ɐɾekɟɔneɾ,অপরকে,ɔpɔɾke,অফোরর,ɔfoɾoɾ,Another,,
অপরের,oprerɔ,আর,ɐɾ,আরোখ,ɐɾokʰ,অপরের,ɔpoɾeɾ,হড়ে,hoɽe,অবশ্যই,ɔboʃʃo͡ɪ̯,Another,,
অপেক্ষা,opekʂa,অপেক্ষা,ɔpekkʰɐ,বার,bɐɾ,অপেক্ষা,ɔpekkʰɐ,অফেক্ষা,ɔpʰekkʰɐ,আফেক্কা,ɐfekkɐ,Waiting,,
অপেক্ষায়,opekʂae̯ɔ,লইগ্গা,lo͡ɪ̯ggɐ,অপেক্ষাত,ɔpekkʰɐt̪,অপেক্ষায়,ɔpekkʰɐe̯,পোলাডা,polɐdɐ,ফোয়াইবার,foʷɐ͡ɪ̯bɐɾ,Waiting,,
অপ্রয়োজনীয়,opre̯od͡ʑn̪ie̯ɔ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,আনা,ɐnɐ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,অহয়জনিয়,ɔhɔʲɟonɪʲo,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,Unnecessary,,
অফিস,oɸis̪ɔ,অফিসে,ɔpʰɪse,অফিসে,ɔpʰɪse,অফিস,ɔpʰɪs,অফিসের,ɔfɪseɾ,আফিসেত্তুন,ɐfɪset̪t̪un,Office,,
অফিস,oɸis̪,অপিস,ɔpɪs,অফিস,ɔpʰɪs,অফিস,ɔpʰɪs,অধিদপ্তর,od̪ʱɪd̪opt̪oɾ,অফিস,ɔpʰɪs,Office,,
