bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অংশ,oŋɕɔ,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,Part,2c. per-,part
অঘটন,o̤ɡ̤ɔtɔn̪ɔ,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,দূর,d̪uɾ,Incident,1. k̑ad-,incident
অচেনা,ot͡ɕen̪a,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,যেতাগোরে,ɟet̪ɐgoɾe,অচেনা,ɔcenɐ,Strange,eg̑hs,strange
অঞ্চল,ont͡ɕɔl̪ɔ,অঞ্চল,ɔncɔl,দু্র্যোগ,d̪uɾɟog,অঞ্চল,ɔncɔl,প্রভন,pɾobʱon,আঞ্চল,ɐncɔl,Region,1. reg̑-,region
অঞ্চলের,ont͡ɕɔl̪erɔ,এলাকার,elɐkɐɾ,জেগার,ɟegɐɾ,অঞ্চলের,ɔncoleɾ,অঞ্চলের,ɔncoleɾ,অঞ্চল,ɔncɔl,Region,1. reg̑-,region
অত,ot̪ɔ,অত,ɔt̪o,দিকে,d̪ɪke,অত,ɔt̪o,অত,ɔt̪o,দিকত,d̪ɪkɔt̪o,So,se-,so
অতিরিক্ত,ot̪irikt̪ɔ,বেশি,beʃɪ,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,Excessive,es-,essive
অত্যন্ত,ot̪d͡zɔn̪t̪ɔ,বেমালা,bemɐlɐ,খুব,xub,মেলা,mɛlɐ,অন্যন্ত,ɔnnont̪o,উফকারি,upʰkɐɾɪ,Highly,2. keu-,high
অত্যাচার,ot̪d͡zat͡ɕarɔ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,আত্যসার,ɐt̪t̪oʃɐɾ,Oppression,3. per-,oppress
অথচ,ot̪ʰɔt͡ɕɔ,তয়,t̪ɔe̯,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অতচ,ɔt̪oc,Yet,3. e-,yet
অথবা,ot̪ʰba,নইলে,no͡ɪ̯le,নায়,nɐe̯,অথবা,ɔt̪ʰobɐ,নইলে,no͡ɪ̯le,নাকি,nɐkɪ,Or,au̯es-,or
অদ্ভুত,od̪b̤ut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪vut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪bʱut̪,অদবুত,ɔd̪obut̪,Strange,eg̑hs,strange
অনলাইনে,on̪l̪ain̪e,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনো,ɔnɔlɐ͡ɪ̯no,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনত,ɔnɔlɐ͡ɪ̯nɔt̪o,Online,lī̆-no-,line
অনুভুতির,on̪ub̤ut̪irɔ,অনুভূতির,onubʱut̪ɪɾ,অনুভুতির,onubʱut̪ɪɾ,সেই,ʃe͡ɪ̯,অনুভূতির,onubʱut̪ɪɾ,ইয়ান,ɪʲɐn,Feeling,2. plāk-,fling
অনুভুতী,on̪ub̤ut̪i,অনুভূতি,onubʱut̪ɪ,অনুভূতি,onubʱut̪ɪ,অনুভুতী,onubʱut̪ɪ,কাম,kɐm,অনূবুতি,onubut̪ɪ,Feeling,2. plāk-,fling
অনুমতি,on̪umt̪i,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,চাই,cɐ͡ɪ̯,অনুমতি,onumot̪ɪ,Permission,smeit-,permit
অনুমতির,on̪umt̪irɔ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,Permission,smeit-,permit
অনেক,on̪ek,ম্যালা,mɛlɐ,অনেখ।,ɔnekʰ।,অনেক,ɔnek,অনেক,ɔnek,বালোবাসে,bɐlobɐʃe,Many,men(e)gh-,many
অনেক,on̪ekɔ,বেমালা,bemɐlɐ,অনেক,ɔnek,অনেক,ɔnek,মেলা,mɛlɐ,বহুত,bohut̪,Many,men(e)gh-,many
অনেকটাই,on̪ektai,অনেক,ɔnek,বাক্কা,bɐkkɐ,অনেকটাই,d̪uɾbol,অনেকটাই,ɔnektɐ͡ɪ̯,দুরবল,d̪uɾbol,Much,meg̑(h)-,much
অনেকে,on̪eke,বেবাকে,bebɐke,বহুতে,bohut̪e,অনেকে,ɔneke,মেলা,mɛlɐ,বউতকিয়ায়,bɔ͡u̯t̪okɪʲɐe̯,Many,men(e)gh-,many
অনেকেই,on̪ekei,অনেক,ɔnek,অনেকই,ɔnekɪ,অনেকেই,ɔneke͡ɪ̯,মেলা,mɛlɐ,অনেকেই,ɔneke͡ɪ̯,Many,men(e)gh-,many
অনেকের,on̪ekerɔ,অনেকের,ɔnekeɾ,বউত,bɔ͡u̯t̪o,অনেকের,ɔnekeɾ,অনেকের,ɔnekeɾ,বেগ্গুনুরতুন,beggunuɾt̪un,Many,men(e)gh-,many
অন্ধকার,on̪d̪̤ɔkar,আন্ধার,ɐnd̪ʱɐɾ,আইন্দার,ɐ͡ɪ̯nd̪ɐɾ,অন্ধকার,ɔnd̪ʱokɐɾ,আন্ধকার,ɐnd̪ʱokɐɾ,অন্ধকার,ɔnd̪ʱokɐɾ,Dark,1. dher-,dark
অন্ধকার,on̪d̪̤ɔkarɔ,আন্ধার,ɐnd̪ʱɐɾ,ভিতরটা,bʱɪt̪ɔɾtɐ,অন্ধকার,ɔnd̪ʱokɐɾ,ভিতরকান,bʱɪt̪ɔɾkɐn,বাড়ির,bɐɽɪɾ,Dark,1. dher-,dark
অন্য,on̪d͡zɔ,অন্য,ɔnno,অন্য,ɔnno,বিছানাত,bɪcʰɐnɐt̪o,কারর,kɐɾoɾ,হনো,hono,Another,2. an-,another
অন্যতম,on̪d͡zɔt̪ɔmɔ,অন্যতম,ɔnnot̪ɔmo,হফরি,hofoɾɪ,অন্যতম,ɔnnot̪ɔmo,অন্যতম,ɔnnot̪ɔmo,অন্যতম,ɔnnot̪ɔmo,One,oi-no-,one
