bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa
অংশ,oŋɕɔ,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo,অংশ,ɔŋʃo
অকালে,okal̪e,অকালে,ɔkɐle,অখালে,ɔkʰɐle,অকালে,ɔkɐle,অকালে,ɔkɐle,বুড়,buɽ
অক্টোবরে,oktobre,অক্টোবরে,ɔktobɔɾe,অক্টোবরো,ɔktobɔɾo,অক্টোবরে,cɐhɪd̪ɐ,অক্টোবর,ɔktobɔɾ,চাহিদা,cɐhɪd̪ɐ
অঘটন,o̤ɡ̤ɔtɔn̪ɔ,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,অঘটন,ɔgʱɔton,দূর,d̪uɾ
অচেনা,ot͡ɕen̪a,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,অচেনা,ɔcenɐ,যেতাগোরে,ɟet̪ɐgoɾe,অচেনা,ɔcenɐ
অঞ্চল,ont͡ɕɔl̪ɔ,অঞ্চল,ɔncɔl,দু্র্যোগ,d̪uɾɟog,অঞ্চল,ɔncɔl,প্রভন,pɾobʱon,আঞ্চল,ɐncɔl
অঞ্চলের,ont͡ɕɔl̪erɔ,এলাকার,elɐkɐɾ,জেগার,ɟegɐɾ,অঞ্চলের,ɔncoleɾ,অঞ্চলের,ɔncoleɾ,অঞ্চল,ɔncɔl
অত,ot̪ɔ,অত,ɔt̪o,দিকে,d̪ɪke,অত,ɔt̪o,অত,ɔt̪o,দিকত,d̪ɪkɔt̪o
অতিরিক্ত,ot̪irikt̪ɔ,বেশি,beʃɪ,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o,অতিরিক্ত,ot̪ɪɾɪkt̪o
অতীতে,ot̪it̪e,আগেরকালে,ɐgeɾkɐle,জীবনো,zɪbɔno,অতীতে,ot̪ɪt̪e,অতীতে,ot̪ɪt̪e,ফুনি,funɪ
অত্যন্ত,ot̪d͡zɔn̪t̪ɔ,বেমালা,bemɐlɐ,খুব,xub,মেলা,mɛlɐ,অন্যন্ত,ɔnnont̪o,উফকারি,upʰkɐɾɪ
অত্যাচার,ot̪d͡zat͡ɕarɔ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,অত্যাচার,ot̪t̪ɐcɐɾ,আত্যসার,ɐt̪t̪oʃɐɾ
অথচ,ot̪ʰɔt͡ɕɔ,তয়,t̪ɔe̯,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অথচ,ɔt̪ʰɔc,অতচ,ɔt̪oc
অথবা,ot̪ʰba,নইলে,no͡ɪ̯le,নায়,nɐe̯,অথবা,ɔt̪ʰobɐ,নইলে,no͡ɪ̯le,নাকি,nɐkɪ
অদ্ভুত,od̪b̤ut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪vut̪,অদ্ভুত,ɔd̪bʱut̪,অদ্ভুত,ɔd̪bʱut̪,অদবুত,ɔd̪obut̪
অনলাইনে,on̪l̪ain̪e,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনো,ɔnɔlɐ͡ɪ̯no,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনে,ɔnɔlɐ͡ɪ̯ne,অনলাইনত,ɔnɔlɐ͡ɪ̯nɔt̪o
অনার্স,on̪ars̪ɔ,অনার্স,ɔnɐɾs,সময়,ʃɔmɔe̯,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs,অনার্স,ɔnɐɾs
অনুপ্রেরণা,on̪uprerna,অনুপ্রেরণা,onupɾeɾonɐ,চলার,cɔlɐɾ,অনুপ্রেরণা,onupɾeɾonɐ,অনুহেরোনা,onuheɾonɐ,যাইবার,zɐ͡ɪ̯bɐɾ
অনুভব,on̪ub̤ɔbɔ,অনুভব,onubʱɔb,অনুভব,onuvɔb,অনুভব,onubʱɔb,করি,koɾɪ,অনুবব,onubɔb
অনুভুতির,on̪ub̤ut̪irɔ,অনুভূতির,onubʱut̪ɪɾ,অনুভুতির,onubʱut̪ɪɾ,সেই,ʃe͡ɪ̯,অনুভূতির,onubʱut̪ɪɾ,ইয়ান,ɪʲɐn
অনুভুতী,on̪ub̤ut̪i,অনুভূতি,onubʱut̪ɪ,অনুভূতি,onubʱut̪ɪ,অনুভুতী,onubʱut̪ɪ,কাম,kɐm,অনূবুতি,onubut̪ɪ
অনুমতি,on̪umt̪i,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,অনুমতি,onumot̪ɪ,চাই,cɐ͡ɪ̯,অনুমতি,onumot̪ɪ
অনুমতির,on̪umt̪irɔ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ,অনুমতির,onumot̪ɪɾ
অনুযায়ী,on̪ud͡zae̯i,মত,mɔt̪,অনুযায়ী,onuɟɐʲɪ,অনুযায়ী,onuʲɐʲɪ,অনুযায়ী,onuʲɐʲɪ,মত,mɔt̪
অনেক,on̪ek,ম্যালা,mɛlɐ,অনেখ।,ɔnekʰ।,অনেক,ɔnek,অনেক,ɔnek,বালোবাসে,bɐlobɐʃe
অনেক,on̪ekɔ,বেমালা,bemɐlɐ,অনেক,ɔnek,অনেক,ɔnek,মেলা,mɛlɐ,বহুত,bohut̪
অনেকগুলো,on̪ekɡul̪o,বেমালা,bemɐlɐ,বাক্কা,bɐkkɐ,অনেকগুলা,ɔnekgulɐ,মেলাগুন,mɛlɐgun,বউত,bɔ͡u̯t̪o
অনেকটাই,on̪ektai,অনেক,ɔnek,বাক্কা,bɐkkɐ,অনেকটাই,d̪uɾbol,অনেকটাই,ɔnektɐ͡ɪ̯,দুরবল,d̪uɾbol
অনেকদিন,on̪ekd̪in̪ɔ,অনেকদিন,ɔnekd̪ɪn,বাক্কা,bɐkkɐ,মেলাদিন,ɐge,বহুত,bohut̪,বউদ্দিন,bɔ͡u̯d̪d̪ɪn
অনেকবার,on̪ekbarɔ,বেমালাবার,hɔgɔldɪ,বাক্কাবার,bɐkkɐbɐɾ,অনেকবার,ɔnekbɐɾ,অনেকবার,ɔnekbɐɾ,বহুবার,bohubɐɾ
অনেকে,on̪eke,বেবাকে,bebɐke,বহুতে,bohut̪e,অনেকে,ɔneke,মেলা,mɛlɐ,বউতকিয়ায়,bɔ͡u̯t̪okɪʲɐe̯
অনেকেই,on̪ekei,অনেক,ɔnek,অনেকই,ɔnekɪ,অনেকেই,ɔneke͡ɪ̯,মেলা,mɛlɐ,অনেকেই,ɔneke͡ɪ̯
অনেকের,on̪ekerɔ,অনেকের,ɔnekeɾ,বউত,bɔ͡u̯t̪o,অনেকের,ɔnekeɾ,অনেকের,ɔnekeɾ,বেগ্গুনুরতুন,beggunuɾt̪un
অন্তত,on̪t̪ɔt̪ɔ,খালি,kʰɐlɪ,নাওয়,nɐ͡o̯e̯,অন্তত,ɛktɐ,এগগা,ɛggɐ,এক্কান,ɛkkɐn
অন্ধকার,on̪d̪̤ɔkar,আন্ধার,ɐnd̪ʱɐɾ,আইন্দার,ɐ͡ɪ̯nd̪ɐɾ,অন্ধকার,ɔnd̪ʱokɐɾ,আন্ধকার,ɐnd̪ʱokɐɾ,অন্ধকার,ɔnd̪ʱokɐɾ
অন্ধকার,on̪d̪̤ɔkarɔ,আন্ধার,ɐnd̪ʱɐɾ,ভিতরটা,bʱɪt̪ɔɾtɐ,অন্ধকার,ɔnd̪ʱokɐɾ,ভিতরকান,bʱɪt̪ɔɾkɐn,বাড়ির,bɐɽɪɾ
অন্য,on̪d͡zɔ,অন্য,ɔnno,অন্য,ɔnno,বিছানাত,bɪcʰɐnɐt̪o,কারর,kɐɾoɾ,হনো,hono
অন্যকে,on̪d͡zɔke,অন্যরে,ɔnnoɾe,অন্যকে,ɔnnoke,অন্যরে,ɔnnoɾe,আরিকগা,ɐɾɪkgɐ,অন্যরে,ɔnnoɾe
অন্যতম,on̪d͡zɔt̪ɔmɔ,অন্যতম,ɔnnot̪ɔmo,হফরি,hofoɾɪ,অন্যতম,ɔnnot̪ɔmo,অন্যতম,ɔnnot̪ɔmo,অন্যতম,ɔnnot̪ɔmo
অন্যদিকে,on̪d͡zɔd̪ike,অন্যদিক,ɔnnod̪ɪk,আরেক,ɐɾek,আরেকদিকে,ɐɾekd̪ɪke,অন্যদিকে,ɔnnod̪ɪke,এডে,ede
