Pokorny_entry	English_gloss
ā	(an exclamation)
ab-	water, river
ā̆bel-, ā̆bō̆l-, abel-	apple
abh-	swift, quick, abrupt
abhro-	strong, mighty
abō(n)	ape, monkey
1 ad-	at, by, to
2 ad-	to fix, put in order
ades-, ados-	spelt (type of grain)
ad(u)-, ad-ro-	current, water course
ag̑-	to lead, drive, agitate
ā̆g̑-	goat
ag̑h-	animal that may bear young
ā̆g̑her-, ā̆g̑hen-, ā̆g̑hes-, or ō̆g̑her etc.	day, dawn
agh-	to ail, fear, be depressed
agh-(lo-)	disgusting, unpleasant
aghl(u)-	dark cloud; rainy weather
agos-	sin, guilt; fault, blemish
agro-, egro-?	first, highest; apex, beginning
ag̑ro-s	field, acre
agu̯(e)sī, aksī	axe
agu̯h-no-s	lamb
1 ai	(an exclamation)
2 ai-	to drive, close in; harm, overwhelm
3 ai-	to give
ai-ti-, ai-to-, oi-to-	part, portion
4 ā̆i-	to burn, shine
5 ai- : oi-	oath, significant speech
aid-	to swell; strong
ai-dh-, i-dh-, nasalized i-n-dh-	to burn, shine
ā̆ier-, ā̆ien-	day(light), morning
aig̑-	goat
1 aig-, nasalized ing-	ill, sick; depressed, dispirited
2 aig-	oak
3 aig-	to swing, vibrate, move violently
aigu̯h-	to be ashamed
ā(i)g̑h- : īg̑h-	to need, desire
ā̆ik̑- : ī̆k̑-	pike, spear, spit
aik-	to call to
ai̯os-	ore, metal (copper, bronze, iron)
ai-rā	(type of grass)
1 ais-	to wish, desire, ask/search for
2 ais-	to respect, worship, be in awe
aisk-	clear, bright, shining
ai-tro-	sharp, bitter
aiu̯-, ai̯u-	vitality, life force
1 ak̑-, ak̑ō-	to eat
2 ak̑-, ok̑-	sharp, acute, angular; stone
akkā	mama (nursery word)
ak̑ru	tear(drop)
aku̯-	to hurt, damage
aku̯ā-, more accurately əku̯ā, ēku̯-	aqua, water, river
1 al-, ol-	beyond; other, alien
2 al-	to grow, nourish, enhance
