bangla_speech,regional,regional_ipa,bangla_speech_ipa
তোমার আব্বু কেমন আছে?,বরিশাল তোমার আব্বায় ক্যামন আছে?,bɐɪʃɐl t̪omɐɾ ɐbbɐe̯ kɛmon ɐcʰe?,t̪omarɔ abbu kemɔn̪ɔ at͡ɕʰe?
আমার বড় বোনের আজকে মন ভালো নেই,বরিশাল মোর বড় বুইনের আইজগো মন ভালো নাই,bɐɾɔhɐl moɾ bɔɽo bu͡ɪ̯neɾ ɐ͡ɪ̯ɟgo mon bʱɐlo nɐ͡ɪ̯,amarɔ bɔɽɔ bon̪erɔ ad͡ʑke mɔn̪ɔ b̤al̪o n̪ei
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,বরিশাল তুমি কি মোরে এই কামডা কইররা দেতে পারবা?,bɐɾɔhɐl t̪umɪ kɪ moɾe e͡ɪ̯ kɐmdɐ ko͡ɪ̯ɾɾɐ d̪et̪e pɐɾbɐ?,t̪umi ki amake ei kad͡ʑti kɔre d̪it̪e parbe?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,বরিশাল এরহম গরমে বায়রায় বাইর হইতে ইচ্ছা করে না,bɐɾɔhɐl eɾohɔm gɔɾme bɐʲɾɐe̯ bɐ͡ɪ̯ɾ ho͡ɪ̯t̪e ɪccʰɐ koɾe nɐ,ei ɡɔrɔme bahire berɔ hɔt̪e it͡ɕt͡ɕʰa kɔre n̪a
তোমার সব কথাই ভুল,বরিশাল তোমার হগল কথাই ভুল,bɐɾɔhɐl t̪omɐɾ hɔgol kɔt̪ʰɐ͡ɪ̯ bʱul,t̪omarɔ s̪ɔbɔ kɔt̪ʰai b̤ul̪
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,বরিশাল তোমার নাহান খারাপ পোলা মুই আর এউক্কাও দেহিনাই,bɐɾɪʃɐl t̪omɐɾ nɐhɐn kʰɐɾɐp polɐ mu͡ɪ̯ ɐɾ e͡u̯kkɐ͡o̯ d̪ehɪnɐ͡ɪ̯,t̪omarɔ mɔt̪ɔ kʰarapɔ t͡ɕʰel̪e ami arɔ ektao d̪ekʰin̪i
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,বরিশাল বিয়ার লইজ্ঞা মায় মোর লইজ্ঞা পোলা খোজতেয়াছে,bɐɾɔʃɐl bɪʲɐɾ lo͡ɪ̯ggɐ mɐe̯ moɾ lo͡ɪ̯ggɐ polɐ kʰoɟt̪eʲɐcʰe,bie̯erɔ d͡ʑɔn̪d͡zɔ amma amarɔ d͡ʑɔn̪d͡zɔ t͡ɕʰel̪e kʰud͡ʑt̪as̪e
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,বরিশাল আব্বায় মোরে গ্যাছেকাইল এউক্কা পোলার লগে দ্যাহা করতে কইছেলে,bɐɾɔhɐl ɐbbɐe̯ moɾe gɛcʰekɐ͡ɪ̯l e͡u̯kkɐ polɐɾ lɔge d̪ɛhɐ koɾt̪e ko͡ɪ̯cʰele,abba amake ɡɔt̪ɔkal̪ɔ ekta t͡ɕʰel̪erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e bɔl̪et͡ɕʰil̪
ছেলেটিকে আমার একদমই ভালো লাগেনি,বরিশাল পোলাডারে মোর মোডেও ভালো লাগেনাই,bɐɾɪʃɐl polɐdɐɾe moɾ mode͡o̯ bʱɐlo lɐgenɐ͡ɪ̯,t͡ɕʰel̪etike amarɔ ekɔd̪ɔmi b̤al̪o l̪aɡen̪i
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,বরিশাল মাইয়াডা গোলাপি রঙের কাপুড় পইররা আইল্লেহ,bɐɾɔhɐl mɐ͡ɪ̯ʲɐdɐ golɐpɪ ɾɔŋeɾ kɐpuɽ po͡ɪ̯ɾɾɐ ɐ͡ɪ̯lleh,mee̯eti ɡol̪api rɔŋerɔ ɕaɽi pɔre es̪et͡ɕʰil̪
আমার দুইদিন পরে বিয়ে হবে,বরিশাল মোর দুজ্ঞাদিন পরে বিয়া হইবে,bɐɾɔhɐl moɾ d̪uggɐd̪ɪn pɔɾe bɪʲɐ ho͡ɪ̯be,amarɔ d̪uid̪in̪ɔ pɔre bie̯e hɔbe
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,বরিশাল পোলাডা এহন আর বিকালে খ্যালতে বাইর হয় না,bɐɾɔhɐl polɐdɐ ehon ɐɾ bɪkɐle kʰɛlt̪e bɐ͡ɪ̯ɾ hɔe̯ nɐ,t͡ɕʰel̪eti ekʰɔn̪ɔ arɔ bikal̪e kʰel̪t̪e berɔ he̯ɔ n̪a
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,বরিশাল মাইয়াডা বেইন্নাহালে ঘুমে গোনে উইঠ্যাই পড়তে বয়,bɐɾɔhɐl mɐ͡ɪ̯ʲɐdɐ be͡ɪ̯nnɐhɐle gʱume gone u͡ɪ̯tʰɐ͡ɪ̯ poɽt̪e bɔe̯,mee̯eti s̪ɔkal̪e ̤ɡ̤umɔ t̪ʰeke utʰei pɔrɔt̪e bɔs̪e
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,বরিশাল মোর চাচায় বিদ্যাশ গোনে গ্যাছেকাইল বাংলাদেশে আইছে,bɐɾɪʃɐl moɾ cɐcɐe̯ bɪd̪d̪ɐʃ gone gɛcʰekɐ͡ɪ̯l bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe,amarɔ t͡ɕat͡ɕa bid̪eɕɔ t̪ʰeke ɡɔt̪ɔkal̪ɔ baŋl̪ad̪eɕe es̪et͡ɕʰe
আমার বাসার দারওয়ান অনেক ভালো মানুষ,বরিশাল মোর বাড়ির চহিদার বেমালা ভালো মানু,bɐɾɔhɐl moɾ bɐɽɪɾ cohɪd̪ɐɾ bemɐlɐ bʱɐlo mɐnu,amarɔ bas̪arɔ d̪aroe̯an̪ɔ on̪ekɔ b̤al̪o man̪uʂ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,বরিশাল মোর দোস্ত খুলনা ঘোরতে গ্যাছে,bɐɾɔhɐl moɾ d̪ost̪o kʰulnɐ gʱoɾt̪e gɛcʰe,amarɔ bɔn̪d̪̤u kʰul̪n̪a ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
আমার ঘুরতে অনেক ভালো লাগে,বরিশাল মোর ঘোরতে বেমালা ভালো লাগে,bɐɾɔhɐl moɾ gʱoɾt̪e bemɐlɐ bʱɐlo lɐge,amarɔ ̤ɡ̤urt̪e on̪ekɔ b̤al̪o l̪aɡe
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,বরিশাল মুই বিদ্যাশ যাইয়া বেমালা ঘোরতে চাই,bɐɾɔhɐl mu͡ɪ̯ bɪd̪d̪ɐʃ ɟɐ͡ɪ̯ʲɐ bemɐlɐ gʱoɾt̪e cɐ͡ɪ̯,ami bid̪eɕe ɡie̯e on̪ekɔ ̤ɡ̤urt̪e t͡ɕai
তুমি আমাকে বিরক্ত করো না,বরিশাল তুমি মোরে বিরক্ত কইররো না,bɐɾɔhɐl t̪umɪ moɾe bɪɾokt̪o ko͡ɪ̯ɾoɾo nɐ,t̪umi amake birɔkt̪ɔ kɔro n̪a
তিনি আমাকে অনেক অপমান করেছে,বরিশাল হ্যায় মোরে ম্যালা অপমান করছে,bɐɾɪʃɐl hɛe̯ moɾe mɛlɐ ɔpomɐn koɾcʰe,t̪in̪i amake on̪ekɔ opman̪ɔ kɔret͡ɕʰe
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,বরিশাল মোর বেইন্নাহালে উইঠ্যা বই পড়তে বেমালা ভালো লাগে,bɐɪʃɐl moɾ be͡ɪ̯nnɐhɐle u͡ɪ̯tʰɐ bo͡ɪ̯ poɽt̪e bemɐlɐ bʱɐlo lɐge,amarɔ s̪ɔkal̪e utʰe bi pɔrɔt̪e on̪ekɔ b̤al̪o l̪aɡe
