bangla_speech,regional,regional_ipa,bangla_speech_ipa
বাংলাদেশে ৬৪ টা জেলা, চিটাগাং বাংলাদেশত ৬৪ ইয়ান জেলা,cɪtɐgon bɐŋlɐd̪eʃt̪ɔ bɔpo ɪʲɐn zelɐ,baŋl̪ad̪eɕe ৬৪ ta d͡ʑel̪a
আমরা সবাই গতকাল বাহিরে গিয়েছিলাম , চিটাগাং আরা বেয়াক্কুন গতহালিয়া বাইরে গেইলাম,cɪtɐgon ɐɾɐ beʲɐkkun gɔt̪ohɐlɪʲɐ bɐ͡ɪ̯ɾe ge͡ɪ̯lɐm,amra s̪ɔbai ɡɔt̪ɔkal̪ɔ bahire ɡie̯et͡ɕʰil̪amɔ 
তোমার কথা বলার ধরন অনেক সুন্দর , চিটাগাং তোইয়ার হতা বলার ধরণ বহুত সুন্দর,cɪtɐgon t̪o͡ɪ̯ʲɐɾ hɔt̪ɐ bɔlɐɾ d̪ʱɔɾon bohut̪ ʃund̪ɔɾ,t̪omarɔ kɔt̪ʰa bɔl̪arɔ d̪̤ɔrɔn̪ɔ on̪ekɔ s̪un̪d̪ɔrɔ 
বরিশালের মানুষ কেমন হয়? , চিটাগাং বরিশালর মানুষ হইল্লে অয় দে?,cɪtɐgon boɾɪʃɐlɔɾ mɐnuʃ ho͡ɪ̯lle ɔe̯ d̪e?,bɔriɕal̪erɔ man̪uʂɔ kemɔn̪ɔ he̯ɔ? 
খুলনা জেলা কি অনেক সুন্দর? , চিটাগাং খুলনা জেলা কি বহুত সুন্দর নাকি?,cɪtɐgon kʰulnɐ ɟelɐ kɪ bohut̪ ʃund̪ɔɾ nɐkɪ?,kʰul̪n̪a d͡ʑel̪a ki on̪ekɔ s̪un̪d̪ɔrɔ? 
খুলনার মানুষ তেমন সুন্দর হয় না , চিটাগাং খুলনার মানুষ এইল্লে সুন্দর ন অয়,cɪtɐgon xulnɐɾ mɐnuʃ e͡ɪ̯lle ʃund̪ɔɾ nɔ ɔe̯,kʰul̪n̪arɔ man̪uʂɔ t̪emɔn̪ɔ s̪un̪d̪ɔrɔ he̯ɔ n̪a 
কখনো ভেবে দেখেছ আমি না থাকলে তোমার কি হতো? , চিটাগাং হনস্মত ভাবি সাইয়িই আই ন থাকিলে তোয়ান কি অইতো?,cɪtɐgon hɔnoʃmɔt̪ vɐbɪ ʃɐ͡ɪ̯ʲɪ͡ɪ̯ ɐ͡ɪ̯ nɔ t̪ʰɐkɪle t̪oʷɐn kɪ ɔ͡ɪ̯t̪o?,kɔkʰɔn̪o b̤ebe d̪ekʰet͡ɕʰɔ ami n̪a t̪ʰakl̪e t̪omarɔ ki hɔt̪o? 
এতো ভাবার সময় কই? , চিটাগাং এতো ভাবিবার সময় হডে?,cɪtɐgon et̪o vɐbɪbɐɾ ʃɔmɔe̯ hode?,et̪o b̤abarɔ s̪ɔme̯ɔ ki? 
দুপুরের রোদে আমি কালো হয়ে গেছি , চিটাগাং দুফুরত রোদত আই কালো অই গিয়ি,cɪtɐgon d̪ufuɾt̪o ɾod̪ɔt̪ ɐ͡ɪ̯ kɐlo ɔ͡ɪ̯ gɪʲɪ,d̪upurerɔ rod̪e ami kal̪o he̯e ɡet͡ɕʰi 
আমি জানি তুমি চিঠিটা এখনি পড়তে শুরু করবে, চিটাগাং আই জানি তুই চিঠি ইবা এহনি ফরা শুরু গর,cɪtɐgon ɐ͡ɪ̯ zɐnɪ t̪u͡ɪ̯ cɪtʰɪ ɪbɐ ehonɪ fɔɾɐ ʃuɾu gɔɾ,ami d͡ʑan̪i t̪umi t͡ɕitʰita ekʰn̪i pɔɽɔt̪e ɕuru kɔrɔbe
