bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
আব্বু,abbu,আব্বায়,ɐbbɐe̯
কেমন,kemɔn̪ɔ,ক্যামন,kɛmon
আছে?,at͡ɕʰe?,আছে?,ɐcʰe?
আমার,amarɔ,মোর,moɾ
বড়,bɔɽɔ,বড়,bɔɽo
বোনের,bon̪erɔ,বুইনের,bu͡ɪ̯neɾ
আজকে,ad͡ʑke,আইজগো,ɐ͡ɪ̯ɟgo
মন,mɔn̪ɔ,মন,mon
ভালো,b̤al̪o,ভালো,bʱɐlo
নেই,n̪ei,নাই,nɐ͡ɪ̯
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কি,kɪ
আমাকে,amake,মোরে,moɾe
এই,ei,এই,e͡ɪ̯
কাজটি,kad͡ʑti,কামডা,kɐmdɐ
করে,kɔre,কইররা,ko͡ɪ̯ɾɾɐ
দিতে,d̪it̪e,দেতে,d̪et̪e
পারবে?,parbe?,পারবা?,pɐɾbɐ?
এই,ei,এরহম,eɾohɔm
গরমে,ɡɔrɔme,গরমে,gɔɾme
বাহিরে,bahire,বায়রায়,bɐʲɾɐe̯
বের,berɔ,বাইর,bɐ͡ɪ̯ɾ
হতে,hɔt̪e,হইতে,ho͡ɪ̯t̪e
ইচ্ছা,it͡ɕt͡ɕʰa,ইচ্ছা,ɪccʰɐ
করে,kɔre,করে,koɾe
না,n̪a,না,nɐ
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
সব,s̪ɔbɔ,হগল,hɔgol
কথাই,kɔt̪ʰai,কথাই,kɔt̪ʰɐ͡ɪ̯
ভুল,b̤ul̪,ভুল,bʱul
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
মত,mɔt̪ɔ,নাহান,nɐhɐn
খারাপ,kʰarapɔ,খারাপ,kʰɐɾɐp
ছেলে,t͡ɕʰel̪e,পোলা,polɐ
আমি,ami,মুই,mu͡ɪ̯
আর,arɔ,আর,ɐɾ
একটাও,ektao,এউক্কাও,e͡u̯kkɐ͡o̯
দেখিনি,d̪ekʰin̪i,দেহিনাই,d̪ehɪnɐ͡ɪ̯
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ
জন্য,d͡ʑɔn̪d͡zɔ,লইজ্ঞা,lo͡ɪ̯ggɐ
আম্মা,amma,মায়,mɐe̯
আমার,amarɔ,মোর,moɾ
ছেলে,t͡ɕʰel̪e,পোলা,polɐ
খুজতাসে,kʰud͡ʑt̪as̪e,খোজতেয়াছে,kʰoɟt̪eʲɐcʰe
আব্বা,abba,আব্বায়,ɐbbɐe̯
আমাকে,amake,মোরে,moɾe
গতকাল,ɡɔt̪ɔkal̪ɔ,গ্যাছেকাইল,gɛcʰekɐ͡ɪ̯l
একটা,ekta,এউক্কা,e͡u̯kkɐ
ছেলের,t͡ɕʰel̪erɔ,পোলার,polɐɾ
সাথে,s̪at̪ʰe,লগে,lɔge
দেখা,d̪ekʰa,দ্যাহা,d̪ɛhɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
বলেছিল,bɔl̪et͡ɕʰil̪,কইছেলে,ko͡ɪ̯cʰele
ছেলেটিকে,t͡ɕʰel̪etike,পোলাডারে,polɐdɐɾe
আমার,amarɔ,মোর,moɾ
একদমই,ekɔd̪ɔmi,মোডেও,mode͡o̯
ভালো,b̤al̪o,ভালো,bʱɐlo
লাগেনি,l̪aɡen̪i,লাগেনাই,lɐgenɐ͡ɪ̯
মেয়েটি,mee̯eti,মাইয়াডা,mɐ͡ɪ̯ʲɐdɐ
গোলাপি,ɡol̪api,গোলাপি,golɐpɪ
রঙের,rɔŋerɔ,রঙের,ɾɔŋeɾ
শাড়ি,ɕaɽi,কাপুড়,kɐpuɽ
পরে,pɔre,পইররা,po͡ɪ̯ɾɾɐ
এসেছিল,es̪et͡ɕʰil̪,আইল্লেহ,ɐ͡ɪ̯lleh
আমার,amarɔ,মোর,moɾ
দুইদিন,d̪uid̪in̪ɔ,দুজ্ঞাদিন,d̪uggɐd̪ɪn
পরে,pɔre,পরে,pɔɾe
বিয়ে,bie̯e,বিয়া,bɪʲɐ
হবে,hɔbe,হইবে,ho͡ɪ̯be
ছেলেটি,t͡ɕʰel̪eti,পোলাডা,polɐdɐ
এখন,ekʰɔn̪ɔ,এহন,ehon
আর,arɔ,আর,ɐɾ
বিকালে,bikal̪e,বিকালে,bɪkɐle
খেলতে,kʰel̪t̪e,খ্যালতে,kʰɛlt̪e
