bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
বাংলাদেশে,baŋl̪ad̪eɕe,বাংলাদেশত,bɐŋlɐd̪eʃt̪ɔ
৬৪,৬৪,৬৪,bɔpo
টা,ta,ইয়ান,ɪʲɐn
জেলা,d͡ʑel̪a,জেলা,zelɐ
আমরা,amra,আরা,ɐɾɐ
সবাই,s̪ɔbai,বেয়াক্কুন,beʲɐkkun
গতকাল,ɡɔt̪ɔkal̪ɔ,গতহালিয়া,gɔt̪ohɐlɪʲɐ
বাহিরে,bahire,বাইরে,bɐ͡ɪ̯ɾe
গিয়েছিলাম,ɡie̯et͡ɕʰil̪amɔ,গেইলাম,ge͡ɪ̯lɐm
তোমার,t̪omarɔ,তোইয়ার,t̪o͡ɪ̯ʲɐɾ
কথা,kɔt̪ʰa,হতা,hɔt̪ɐ
বলার,bɔl̪arɔ,বলার,bɔlɐɾ
ধরন,d̪̤ɔrɔn̪ɔ,ধরণ,d̪ʱɔɾon
অনেক,on̪ekɔ,বহুত,bohut̪
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
বরিশালের,bɔriɕal̪erɔ,বরিশালর,boɾɪʃɐlɔɾ
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
কেমন,kemɔn̪ɔ,হইল্লে,ho͡ɪ̯lle
হয়?,he̯ɔ?,অয়,ɔe̯
খুলনা,kʰul̪n̪a,খুলনা,kʰulnɐ
জেলা,d͡ʑel̪a,জেলা,ɟelɐ
কি,ki,কি,kɪ
অনেক,on̪ekɔ,বহুত,bohut̪
সুন্দর?,s̪un̪d̪ɔrɔ?,সুন্দর,ʃund̪ɔɾ
খুলনার,kʰul̪n̪arɔ,খুলনার,xulnɐɾ
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
তেমন,t̪emɔn̪ɔ,এইল্লে,e͡ɪ̯lle
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
হয়,he̯ɔ,ন,nɔ
না,n̪a,অয়,ɔe̯
কখনো,kɔkʰɔn̪o,হনস্মত,hɔnoʃmɔt̪
ভেবে,b̤ebe,ভাবি,vɐbɪ
দেখেছ,d̪ekʰet͡ɕʰɔ,সাইয়িই,ʃɐ͡ɪ̯ʲɪ͡ɪ̯
আমি,ami,আই,ɐ͡ɪ̯
না,n̪a,ন,nɔ
থাকলে,t̪ʰakl̪e,থাকিলে,t̪ʰɐkɪle
তোমার,t̪omarɔ,তোয়ান,t̪oʷɐn
কি,ki,কি,kɪ
হতো?,hɔt̪o?,অইতো?,ɔ͡ɪ̯t̪o?
এতো,et̪o,এতো,et̪o
ভাবার,b̤abarɔ,ভাবিবার,vɐbɪbɐɾ
সময়,s̪ɔme̯ɔ,সময়,ʃɔmɔe̯
কই?,ki?,হডে?,hode?
দুপুরের,d̪upurerɔ,দুফুরত,d̪ufuɾt̪o
রোদে,rod̪e,রোদত,ɾod̪ɔt̪
আমি,ami,আই,ɐ͡ɪ̯
কালো,kal̪o,কালো,kɐlo
হয়ে,he̯e,অই,ɔ͡ɪ̯
গেছি,ɡet͡ɕʰi,গিয়ি,gɪʲɪ
আমি,ami,আই,ɐ͡ɪ̯
জানি,d͡ʑan̪i,জানি,zɐnɪ
তুমি,t̪umi,তুই,t̪u͡ɪ̯
চিঠিটা,t͡ɕitʰita,চিঠি,cɪtʰɪ
এখনি,ekʰn̪i,ইবা,ɪbɐ
পড়তে,pɔɽɔt̪e,এহনি,ehonɪ
শুরু,ɕuru,ফরা,fɔɾɐ
করবে,kɔrɔbe,শুরু,ʃuɾu
আম,amɔ,আম,ɐm
দিয়ে,d̪ie̯e,দি,d̪ɪ
বানিয়ে,ban̪ie̯e,বানাইত্লেতারিবানা,bɐnɐ͡ɪ̯t̪let̪ɐɾɪbɐnɐ
ফেলতে,ɸel̪t̪e,মু,mu
পারেন,paren̪ɔ,দিয়েরে,d̪ɪʲeɾe
শরবত,ɕɔrɔbɔt̪ɔ,ফারিবানা,pʰɐɾɪbɐnɐ
আজকে,ad͡ʑke,আজিয়া,ɐzɪʲɐ
স্কুলে,s̪kul̪e,স্কুলত,skulɔt̪o
তোমাদের,t̪omad̪erɔ,তোয়ারারে,t̪oʷɐɾɐɾe
কি,ki,কি,kɪ
কি,ki,ফরাইয়ে?,fɔɾɐ͡ɪ̯ʲe?
আমার,amarɔ,আর,ɐɾ
আগের,aɡerɔ,আগর,ɐgoɾ
কোনো,kon̪o,হোনো,hono
কথা,kɔt̪ʰa,হতা,hɔt̪ɐ
কিছুই,kit͡ɕʰui,কিছুই,kɪcʰu͡ɪ̯
মনে,mɔn̪e,মনত,monot̪o
নেই,n̪ei,নাই,nɐ͡ɪ̯
তুমি,t̪umi,তুই,t̪u͡ɪ̯
এত,et̪ɔ,এইল্লে,e͡ɪ̯lle
অমনোযোগী,omn̪od͡zoɡi,অমনোযোগী,ɔmonozogɪ
হলে,hɔl̪e,অইলে,ɛ͡ɪ̯le
পরিক্ষায়,pɔrikʂae̯ɔ,ফরিক্ষাত,foɾɪkxɐt̪o
ভালো,b̤al̪o,ভালো,vɐlo
ফলাফল,ɸɔl̪aɸɔl̪ɔ,ফলাফল,fɔlɐfɔl
করবে,kɔrɔbe,ন,nɔ
না,n̪a,গরিবা,goɾɪbɐ
