bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
কেমন,kemɔn̪ɔ,কেমত,kɛmɔt̪
আছো,at͡ɕʰo,আছো?,ɐcʰo?
আজকে,ad͡ʑke,আইজ,ɐ͡ɪ̯ɟ
আমার,amarɔ,আমার,ɐmɐɾ
মন,mɔn̪ɔ,মন,mon
ভালো,b̤al̪o,ভালা,bʱɐlɐ
নেই,n̪ei,নাই,nɐ͡ɪ̯
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কিতা,kɪt̪ɐ
করো,kɔro,করো?,koɾo?
এই,ei,এই,e͡ɪ̯
গরমে,ɡɔrɔme,গরমডাত,gɔɾomdɐt̪
আমার,amarɔ,আমার,ɐmɐɾ
কিছু,kit͡ɕʰu,কিছু,kɪcʰu
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
না,n̪a,না,nɐ
ছেলেটি,t͡ɕʰel̪eti,ছেড়াটা,cʰeɽɐtɐ
সাদা,s̪ad̪a,সাদা,ʃɐd̪ɐ
রঙয়ের,rɔŋe̯erɔ,রংগের,ɾɔŋgeɾ
একটি,ekti,একটা,ɛktɐ
শার্ট,ɕartɔ,শার্ট,ʃɐɾt
পরে,pɔre,পইড়া,po͡ɪ̯ɽɐ
এসেছিল,es̪et͡ɕʰil̪,আইছিল,ɐ͡ɪ̯cʰɪlo
মেয়েটি,mee̯eti,ছেড়িটা,cʰeɽɪtɐ
লাল,l̪al̪ɔ,লাল,lɐl
রঙয়ের,rɔŋe̯erɔ,রংগের,ɾɔŋgeɾ
শাড়ি,ɕaɽi,শাড়ি,ʃɐɽɪ
পরে,pɔre,পইরা,po͡ɪ̯ɾɐ
আমার,amarɔ,আমার,ɐmɐɾ
সাথে,s̪at̪ʰe,সাথে,ʃɐt̪ʰe
দেখা,d̪ekʰa,দেখা,d̪ɛkʰɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
এসেছিল,es̪et͡ɕʰil̪,আইসিল,ɐ͡ɪ̯sɪl
ছেলেটি,t͡ɕʰel̪eti,ছেড়াটা,cʰeɽɐtɐ
সিলেট,s̪il̪etɔ,সিলেটতন,sɪletɔt̪ɔn
থেকে,t̪ʰeke,ঢাকাত,dʱɐkɐt̪
ঢাকায়,d̤akae̯ɔ,আইসে,ɐ͡ɪ̯ʃe
