bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
তোমার,t̪omarɔ,তোর,t̪oɾ
আব্বু,abbu,আব্বা,ɐbbɐ
কেমন,kemɔn̪ɔ,কেক্কা,kekkɐ
আছে?,at͡ɕʰe?,আছে?,ɐcʰe?
আমার,amarɔ,আর,ɐɾ
বড়,bɔɽɔ,বড়,bɔɽo
বোনের,bon̪erɔ,আফার,ɐpʰɐɾ
আজকে,ad͡ʑke,আইজ্জা,ɐ͡ɪ̯ɟɟɐ
মন,mɔn̪ɔ,মন,mon
ভালো,b̤al̪o,ভালা,bʱɐlɐ
নেই,n̪ei,নাই,nɐ͡ɪ̯
তুমি,t̪umi,তুই,t̪u͡ɪ̯
কি,ki,কি,kɪ
আমাকে,amake,আরে,ɐɾe
এই,ei,এই,e͡ɪ̯
কাজটি,kad͡ʑti,কাম,kɐm
করে,kɔre,আন,ɐn
দিতে,d̪it̪e,করি,koɾɪ
পারবে?,parbe?,দিতা,d̪ɪt̪ɐ
এই,ei,এই,e͡ɪ̯
গরমে,ɡɔrɔme,গরমেত্তে,gɔɾomet̪t̪e
বাহিরে,bahire,বাইর,bɐ͡ɪ̯ɾ
বের,berɔ,অইত,ɔ͡ɪ̯t̪o
হতে,hɔt̪e,ইচ্ছা,ɪccʰɐ
ইচ্ছা,it͡ɕt͡ɕʰa,করে,koɾe
করে,kɔre,না,nɐ
তোমার,t̪omarɔ,তোর,t̪oɾ
সব,s̪ɔbɔ,বেক,bek
কথাই,kɔt̪ʰai,কতাই,kɔt̪ɐ͡ɪ̯
ভুল,b̤ul̪,ভুল,bʱul
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ
জন্য,d͡ʑɔn̪d͡zɔ,লাই,lɐ͡ɪ̯
আম্মা,amma,আর,ɐɾ
আমার,amarɔ,আম্মা,ɐmmɐ
জন্য,d͡ʑɔn̪d͡zɔ,আর,ɐɾ
ছেলে,t͡ɕʰel̪e,লাই,lɐ͡ɪ̯
খুজতাসে,kʰud͡ʑt̪as̪e,হোলা,holɐ
আব্বা,abba,কাইল্গা,kɐ͡ɪ̯lgɐ
আমাকে,amake,আব্বা,ɐbbɐ
গতকাল,ɡɔt̪ɔkal̪ɔ,আরে,ɐɾe
একটা,ekta,এক,ɛk
ছেলের,t͡ɕʰel̪erɔ,হোলার,holɐɾ
সাথে,s̪at̪ʰe,লগে,lɔge
দেখা,d̪ekʰa,দেয়া,d̪eʲɐ
করতে,kɔrɔt̪e,কইরতে,ko͡ɪ̯ɾt̪e
বলেছিল,bɔl̪et͡ɕʰil̪,কইছিলো,ko͡ɪ̯cʰɪlo
ছেলেটিকে,t͡ɕʰel̪etike,হোলাগারে,holɐgɐɾe
