bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
আব্বু,abbu,আব্বা,ɐbbɐ
কেমন,kemɔn̪ɔ,বালা,bɐlɐ
আছে?,at͡ɕʰe?,আছইন,ɐcʰo͡ɪ̯n
আমার,amarɔ,আমার,ɐmɐɾ
বড়,bɔɽɔ,বড়,bɔɽo
বোনের,bon̪erɔ,বইনর,bo͡ɪ̯nɔɾ
আজকে,ad͡ʑke,আইজ,ɐ͡ɪ̯ɟ
মন,mɔn̪ɔ,মন,mon
ভালো,b̤al̪o,ভালা,bʱɐlɐ
নেই,n̪ei,নায়,nɐe̯
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কিতা,kɪt̪ɐ
আমাকে,amake,মোরে,moɾe
এই,ei,এই,e͡ɪ̯
কাজটি,kad͡ʑti,কাজটা,kɐɟtɐ
করে,kɔre,করাই,kɔɾɐ͡ɪ̯
দিতে,d̪it̪e,দিতা,d̪ɪt̪ɐ
পারবে?,parbe?,পারবা,pɐɾbɐ
এই,ei,এই,e͡ɪ̯
গরমে,ɡɔrɔme,গরমো,gɔɾmo
বাহিরে,bahire,বাইরে,bɐ͡ɪ̯ɾe
বের,berɔ,বাইর,bɐ͡ɪ̯ɾ
হতে,hɔt̪e,অইতে,ɔ͡ɪ̯t̪e
ইচ্ছা,it͡ɕt͡ɕʰa,জানে,ɟɐne
করে,kɔre,কয়,kɔe̯
না,n̪a,না,nɐ
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
সব,s̪ɔbɔ,সব,ʃɔb
কথাই,kɔt̪ʰai,মাত,mɐt̪
ভুল,b̤ul̪,ভুল,bʱul
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
মত,mɔt̪ɔ,মত,mɔt̪
খারাপ,kʰarapɔ,খারাফ,kʰɐɾɐpʰ
ছেলে,t͡ɕʰel̪e,পুয়া,puʲɐ
আমি,ami,মুই,mu͡ɪ̯
আর,arɔ,আর,ɐɾ
একটাও,ektao,একটাও,ɛktɐ͡o̯
দেখিনি,d̪ekʰin̪i,দেখছি,d̪ekʰcʰɪ
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ
জন্য,d͡ʑɔn̪d͡zɔ,লাগি,lɐgɪ
আম্মা,amma,মাই,mɐ͡ɪ̯
আমার,amarɔ,মুর,muɾ
ছেলে,t͡ɕʰel̪e,ফুয়া,pʰuʲɐ
খুজতাসে,kʰud͡ʑt̪as̪e,খুজিরা,kʰuɟɪɾɐ
আব্বা,abba,আব্বা,ɐbbɐ
আমাকে,amake,মোরে,moɾe
গতকাল,ɡɔt̪ɔkal̪ɔ,গতকাল,gɔt̪okɐl
একটা,ekta,এক,ɛk
ছেলের,t͡ɕʰel̪erɔ,ফুয়ার,pʰuʲɐɾ
সাথে,s̪at̪ʰe,লগে,lɔge
দেখা,d̪ekʰa,দেখা,d̪ɛkʰɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
বলেছিল,bɔl̪et͡ɕʰil̪,কইছলা,ko͡ɪ̯cʰɔlɐ
ছেলেটিকে,t͡ɕʰel̪etike,ফুয়াটারে,pʰuʲɐtɐɾe
আমার,amarɔ,মোর,moɾ
একদমই,ekɔd̪ɔmi,একদমই,ɛkd̪ɔmɪ
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগেনি,l̪aɡen̪i,লাগে,lɐge
মেয়েটি,mee̯eti,ফুরিটা,pʰuɾɪtɐ
গোলাপি,ɡol̪api,গোলাপি,golɐpɪ
রঙের,rɔŋerɔ,রঙের,ɾɔŋeɾ
শাড়ি,ɕaɽi,শাড়ি,ʃɐɽɪ
পরে,pɔre,পরিয়া,poɾɪʲɐ
এসেছিল,es̪et͡ɕʰil̪,আইছিল,ɐ͡ɪ̯cʰɪlo
আমার,amarɔ,আমার,ɐmɐɾ
দুইদিন,d̪uid̪in̪ɔ,দুইদিন,d̪u͡ɪ̯d̪ɪn
পরে,pɔre,ফরে,pʰɔɾe
বিয়ে,bie̯e,বিয়া,bɪʲɐ
হবে,hɔbe,অইবো,ɔ͡ɪ̯bo
ছেলেটি,t͡ɕʰel̪eti,ফুয়াটা,pʰuʲɐtɐ
এখন,ekʰɔn̪ɔ,এখন,ɛkʰon
আর,arɔ,আর,ɐɾ
বিকালে,bikal̪e,বিকালে,bɪkɐle
খেলতে,kʰel̪t̪e,খেলাত,kʰelɐt̪
বের,berɔ,বারয়,bɐɾɔe̯
হয়,he̯ɔ,না,nɐ
মেয়েটি,mee̯eti,ফুরিটা,pʰuɾɪtɐ
সকালে,s̪ɔkal̪e,সকালে,ʃɔkɐle
ঘুম,̤ɡ̤umɔ,ঘুম,gʱum
থেকে,t̪ʰeke,থাকি,t̪ʰɐkɪ
উঠেই,utʰei,উঠেই,utʰe͡ɪ̯
পরতে,pɔrɔt̪e,ফরাত,pʰɔɾɐt̪
বসে,bɔs̪e,বয়,bɔe̯
আমার,amarɔ,আমার,ɐmɐɾ
চাচা,t͡ɕat͡ɕa,চাচা,cɐcɐ
বিদেশ,bid̪eɕɔ,বিদেশ,bɪd̪eʃ
থেকে,t̪ʰeke,থাকি,t̪ʰɐkɪ
গতকাল,ɡɔt̪ɔkal̪ɔ,গতকাল,gɔt̪okɐl
বাংলাদেশে,baŋl̪ad̪eɕe,বাংলাদেশে,bɐŋlɐd̪eʃe
এসেছে,es̪et͡ɕʰe,আইছে,ɐ͡ɪ̯cʰe
আমার,amarɔ,আমার,ɐmɐɾ
বাসার,bas̪arɔ,বাসার,bɐʃɐɾ
দারওয়ান,d̪aroe̯an̪ɔ,দারওয়ান,d̪ɐɾoʷɐn
অনেক,on̪ekɔ,অনেক,ɔnek
ভালো,b̤al̪o,ভালা,bʱɐlɐ
মানুষ,man̪uʂ,মানুষ,mɐnuʃ
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
খুলনা,kʰul̪n̪a,খুলনা,kʰulnɐ
ঘুরতে,̤ɡ̤urt̪e,বেরানিত,beɾɐnɪt̪o
গিয়েছে,ɡie̯et͡ɕʰe,গেছইন,gecʰo͡ɪ̯n
আমার,amarɔ,আমার,ɐmɐɾ
ঘুরতে,̤ɡ̤urt̪e,বেরাইতে,beɾɐ͡ɪ̯t̪e
অনেক,on̪ekɔ,অনেক,ɔnek
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
আমি,ami,মুই,mu͡ɪ̯
বিদেশে,bid̪eɕe,বিদেশে,bɪd̪eʃe
গিয়ে,ɡie̯e,গিয়া,gɪʲɐ
অনেক,on̪ekɔ,অনেক,ɔnek
ঘুরতে,̤ɡ̤urt̪e,বেরাইতে,beɾɐ͡ɪ̯t̪e
চাই,t͡ɕai,চাই,cɐ͡ɪ̯
তুমি,t̪umi,তুমি,t̪umɪ
আমাকে,amake,মোরে,moɾe
বিরক্ত,birɔkt̪ɔ,বিরক্ত,bɪɾokt̪o
করো,kɔro,করবা,koɾbɐ
না,n̪a,না,nɐ
তিনি,t̪in̪i,তাইন,t̪ɐ͡ɪ̯n
আমাকে,amake,মোরে,moɾe
অনেক,on̪ekɔ,অনেক,ɔnek
অপমান,opman̪ɔ,অপমান,ɔpomɐn
করেছে,kɔret͡ɕʰe,করছইন,koɾcʰɪn
আমার,amarɔ,মোর,moɾ
সকালে,s̪ɔkal̪e,সকালে,ʃɔkɐle
উঠে,utʰe,উঠিয়া,utʰɪʲɐ
বই,bi,বই,bo͡ɪ̯
পরতে,pɔrɔt̪e,পরতে,poɾt̪e
অনেক,on̪ekɔ,অনেক,ɔnek
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
আমার,amarɔ,মোর,moɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
ভাই,b̤ai,ভাই,bʱɐ͡ɪ̯
একদমই,ekɔd̪ɔmi,একদমই,ɛkd̪ɔmɪ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেখা,pɔɽɐlekʰɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
চায়,t͡ɕae̯ɔ,চাইন,cɐ͡ɪ̯n
না,n̪a,না,nɐ
আমার,amarɔ,মোর,moɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
ভাই,b̤ai,ভাই,bʱɐ͡ɪ̯
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
যেতে,d͡zet̪e,যাইতে,ɟɐ͡ɪ̯t̪e
চায়,t͡ɕae̯ɔ,চায়,cɐe̯
না,n̪a,না,nɐ
আমার,amarɔ,মোর,moɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
