bangla_speech,regional,regional_ipa,bangla_speech_ipa
কেমন আছো ?, ময়মনসিংহঃ কেমত আছো?,menʃɪn kɛmɔt̪ ɐcʰo?,kemɔn̪ɔ at͡ɕʰo ?
আজকে আমার মন ভালো নেই, ময়মনসিংহঃ আইজ আমার মন ভালা নাই,menosho ɐ͡ɪ̯ɟ ɐmɐɾ mon bʱɐlɐ nɐ͡ɪ̯,ad͡ʑke amarɔ mɔn̪ɔ b̤al̪o n̪ei
তুমি কি করো ?, ময়মনসিংহঃ তুমি কিতা করো?,menʃɪn t̪umɪ kɪt̪ɐ koɾo?,t̪umi ki kɔro ?
এই গরমে আমার কিছু ভালো লাগে না, ময়মনসিংহঃ এই গরমডাত আমার কিছু ভালা লাগে না,menʃɪn e͡ɪ̯ gɔɾomdɐt̪ ɐmɐɾ kɪcʰu bʱɐlɐ lɐge nɐ,ei ɡɔrɔme amarɔ kit͡ɕʰu b̤al̪o l̪aɡe n̪a
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল, ময়মনসিংহঃ ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল, mɔʲenosho cʰeɽɐtɐ ʃɐd̪ɐ ɾɔŋgeɾ ɛktɐ ʃɐɾt po͡ɪ̯ɽɐ ɐ͡ɪ̯cʰɪlo,t͡ɕʰel̪eti s̪ad̪a rɔŋe̯erɔ ekti ɕartɔ pɔre es̪et͡ɕʰil̪
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল, ময়মনসিংহঃ ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,mɔʲenʃɪn cʰeɽɪtɐ lɐl ɾɔŋgeɾ ʃɐɽɪ po͡ɪ̯ɾɐ ɐmɐɾ ʃɐt̪ʰe d̪ɛkʰɐ koɾt̪e ɐ͡ɪ̯sɪl,mee̯eti l̪al̪ɔ rɔŋe̯erɔ ɕaɽi pɔre amarɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e es̪et͡ɕʰil̪
ছেলেটি সিলেট থেকে ঢাকায় এসেছে, ময়মনসিংহঃ ছেড়াটা সিলেটতন ঢাকাত আইসে,menʃɪn cʰeɽɐtɐ sɪletɔt̪ɔn dʱɐkɐt̪ ɐ͡ɪ̯ʃe,t͡ɕʰel̪eti s̪il̪etɔ t̪ʰeke d̤akae̯ɔ es̪et͡ɕʰe
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে, ময়মনসিংহঃ ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,mɔʲenogho cʰeɽɪtɐ sɪlet t̪ʰɐ͡ɪ̯kɐ ɐʃɐ ɔ͡ɪ̯ cʰeɽɐtɐɾe ɔnek bʱɐlbɐʃe,mee̯eti s̪il̪etɔ t̪ʰeke as̪a ei t͡ɕʰel̪etike on̪ekɔ b̤al̪bas̪e
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি, ময়মনসিংহঃ ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,menʃɪng cʰeɽɐtɐ cʰeɽɪtɐɾe ɛkʰono bʱɐlbɐʃɐɾ cokʰe d̪ekʰe nɐ͡ɪ̯,t͡ɕʰel̪eti mee̯etake ekʰn̪o b̤al̪bas̪arɔ t͡ɕokʰe d̪ekʰen̪i
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে, ময়মনসিংহঃ ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,menoʃɪng cʰeɽɪtɐ t̪ɐɾ ʃɔpneɾ mod̪d̪ʱe cʰeɽɐtɐɾe kɔlponɐ koɾe,mee̯eti t̪ɔ̃rɔ s̪ɔbɔ s̪bɔpn̪erɔ mɔd̪̤d͡ze t͡ɕʰel̪etake kɔl̪pɔn̪a kɔre
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল, ময়মনসিংহঃ আমার অনেকদিন আগে একবার বিয়া হইছিল,menʃɪn ɐmɐɾ ɔnekd̪ɪn ɐge ɛkbɐɾ bɪʲɐ ho͡ɪ̯cʰɪlo,amarɔ on̪ekɔ d̪in̪ɔ aɡe ekbarɔ bie̯e he̯et͡ɕʰil̪
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়, ময়মনসিংহঃ আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,mɔʲenʃɔn ɐmɐɾ mɐ ɐmɐɾe ko͡ɪ̯sɪl bɪʲɐ ho͡ɪ̯le ɟɪbɔn bɔd̪lɐʲɐ ɟɐe̯,amarɔ ma amake bɔl̪et͡ɕʰil̪ɔ bie̯e hɔl̪e d͡ʑibɔn̪ɔ pɔribɔrt̪ɔn̪ɔ he̯e d͡zae̯
আম্মু ঐদিন ঠিক কথাই বলেছিলও, ময়মনসিংহঃ আম্মা অইদিন ঠিক কথাই কইসিল,menʃɪn ɐmmɐ ɔ͡ɪ̯d̪ɪn tʰɪk kɔt̪ʰɐ͡ɪ̯ ko͡ɪ̯sɪl,ammu ojd̪in̪ɔ tʰikɔ kɔt̪ʰai bɔl̪et͡ɕʰil̪o
