bangla_speech,regional,regional_ipa,bangla_speech_ipa
তোমার আব্বু কেমন আছে?,নোয়াখালী তোর আব্বা কেক্কা আছে?,nokohɐlɪ t̪oɾ ɐbbɐ kekkɐ ɐcʰe?,t̪omarɔ abbu kemɔn̪ɔ at͡ɕʰe?
আমার বড় বোনের আজকে মন ভালো নেই,নোয়াখালী আর বড় আফার আইজ্জা মন ভালা নাই,noɟɐlɪ ɐɾ bɔɽo ɐpʰɐɾ ɐ͡ɪ̯ɟɟɐ mon bʱɐlɐ nɐ͡ɪ̯,amarɔ bɔɽɔ bon̪erɔ ad͡ʑke mɔn̪ɔ b̤al̪o n̪ei
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,নোয়াখালী তুই কি আরে এই কাম আন করি দিতা হাইরবা নি?,noɟɐlɪ t̪u͡ɪ̯ kɪ ɐɾe e͡ɪ̯ kɐm ɐn koɾɪ d̪ɪt̪ɐ hɐ͡ɪ̯ɾbɐ nɪ?,t̪umi ki amake ei kad͡ʑti kɔre d̪it̪e parbe?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,নোয়াখালী এই গরমেত্তে বাইর অইত ইচ্ছা করে না, noɐkɐlɪ e͡ɪ̯ gɔɾomet̪t̪e bɐ͡ɪ̯ɾ ɔ͡ɪ̯t̪o ɪccʰɐ koɾe nɐ,ei ɡɔrɔme bahire berɔ hɔt̪e it͡ɕt͡ɕʰa kɔre n̪a
তোমার সব কথাই ভুল,নোয়াখালী তোর বেক কতাই ভুল,nokohɐlɪ t̪oɾ bek kɔt̪ɐ͡ɪ̯ bʱul,t̪omarɔ s̪ɔbɔ kɔt̪ʰai b̤ul̪
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,নোয়াখালী বিয়ার লাই আর আম্মা আর লাই হোলা টোগার,noɐkʰɐlɪ bɪʲɐɾ lɐ͡ɪ̯ ɐɾ ɐmmɐ ɐɾ lɐ͡ɪ̯ holɐ togɐɾ,bie̯erɔ d͡ʑɔn̪d͡zɔ amma amarɔ d͡ʑɔn̪d͡zɔ t͡ɕʰel̪e kʰud͡ʑt̪as̪e
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,নোয়াখালী কাইল্গা আব্বা আরে এক হোলার লগে দেয়া কইরতে কইছিলো, nokʰɐlɪ kɐ͡ɪ̯lgɐ ɐbbɐ ɐɾe ɛk holɐɾ lɔge d̪eʲɐ ko͡ɪ̯ɾt̪e ko͡ɪ̯cʰɪlo,abba amake ɡɔt̪ɔkal̪ɔ ekta t͡ɕʰel̪erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e bɔl̪et͡ɕʰil̪
ছেলেটিকে আমার একদমই ভালো লাগেনি,নোয়াখালী হোলাগারে আর এক্কানাও ভালা লাগে নো,nokohɪ holɐgɐɾe ɐɾ ɛkkɐnɐ͡o̯ vɐlɐ lɐge no,t͡ɕʰel̪etike amarɔ ekɔd̪ɔmi b̤al̪o l̪aɡen̪i
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,নোয়াখালী মাইয়া গা গোলাপি রঙের কার হিনছিলো,nokohɐlɪ mɐ͡ɪ̯ʲɐ gɐ golɐpɪ ɾɔŋeɾ kɐɾ hɪncʰɪlo,mee̯eti ɡol̪api rɔŋerɔ ɕaɽi pɔre es̪et͡ɕʰil̪
আমার দুইদিন পরে বিয়ে হবে,নোয়াখালী দুইদিন হরে আর বিয়া ওইবো,nokohɐlɪ d̪u͡ɪ̯d̪ɪn hoɾe ɐɾ bɪʲɐ o͡ɪ̯bo,amarɔ d̪uid̪in̪ɔ pɔre bie̯e hɔbe
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,নোয়াখালী হোলাগা অন আর বিয়ালে খেলতো বার ওনা,noɟɐlɪ holɐgɐ ɔn ɐɾ bɪʲɐle kʰelɔt̪o bɐɾ onɐ,t͡ɕʰel̪eti ekʰɔn̪ɔ arɔ bikal̪e kʰel̪t̪e berɔ he̯ɔ n̪a
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,নোয়াখালী মাইয়া গা সকালে উঠিই হইরতো বইয়ে,noɟɐlɪ mɐ͡ɪ̯ʲɐ gɐ ʃɔkɐle utʰɪ͡ɪ̯ hɪɾot̪o bo͡ɪ̯ʲe,mee̯eti s̪ɔkal̪e ̤ɡ̤umɔ t̪ʰeke utʰei pɔrɔt̪e bɔs̪e
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,নোয়াখালী কাইল্গা আর চাচা বিদাশ তুন বাংলাদেশে আইছে,noɟɐlɪ kɐ͡ɪ̯lgɐ ɐɾ cɐcɐ bɪd̪ɐʃ t̪un bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe,amarɔ t͡ɕat͡ɕa bid̪eɕɔ t̪ʰeke ɡɔt̪ɔkal̪ɔ baŋl̪ad̪eɕe es̪et͡ɕʰe
আমার বাসার দারওয়ান অনেক ভালো মানুষ,নোয়াখালী আর বাসার দারোয়ান মেলা ভালা মানুষ,noɐhɐlɪ ɐɾ bɐʃɐɾ d̪ɐɾoʷɐn mɛlɐ vɐlɐ mɐnuʃ,amarɔ bas̪arɔ d̪aroe̯an̪ɔ on̪ekɔ b̤al̪o man̪uʂ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,নোয়াখালী আর বন্ধু খুলনা ঘুইত্তো গেছে,noɐkɐlɪ ɐɾ bond̪ʱu kʰulnɐ gʱu͡ɪ̯t̪t̪o gecʰe,amarɔ bɔn̪d̪̤u kʰul̪n̪a ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
আমার ঘুরতে অনেক ভালো লাগে,নোয়াখালী আর ঘুইত্তে মেলা ভালা লাগে,nokohɐlɪ ɐɾ gʱu͡ɪ̯t̪t̪e mɛlɐ bʱɐlɐ lɐge,amarɔ ̤ɡ̤urt̪e on̪ekɔ b̤al̪o l̪aɡe
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,নোয়াখালী আই বিদেশ যাই ঘুরত্তাম চাই,noɐxɐlɪ ɐ͡ɪ̯ bɪd̪eʃ zɐ͡ɪ̯ gʱuɾt̪t̪ɐm cɐ͡ɪ̯,ami bid̪eɕe ɡie̯e on̪ekɔ ̤ɡ̤urt̪e t͡ɕai
তুমি আমাকে বিরক্ত করো না,নোয়াখালী তুই আরে জালাইয়ো নাহ তো,nokolɪ t̪u͡ɪ̯ ɐɾe ɟɐlɐ͡ɪ̯ʲo nɐh t̪o,t̪umi amake birɔkt̪ɔ kɔro n̪a
তিনি আমাকে অনেক অপমান করেছে,নোয়াখালী হেতন আরে মেলা অপমান কইচ্ছে,nokʰɐlɪ hɛt̪on ɐɾe mɛlɐ ɔpomɐn ko͡ɪ̯ccʰe,t̪in̪i amake on̪ekɔ opman̪ɔ kɔret͡ɕʰe
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,নোয়াখালী আর বেনে উঠি বই হইরতে মেলা ভাল্লাগে,nokɔlɪ ɐɾ bene utʰɪ bo͡ɪ̯ ho͡ɪ̯ɾt̪e mɛlɐ bʱɐllɐge,amarɔ s̪ɔkal̪e utʰe bi pɔrɔt̪e on̪ekɔ b̤al̪o l̪aɡe
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,নোয়াখালী আর ভাই ছোডগা এক্কারেই হড়ালেয়া কইরতো চায় না,noɐkolɪ ɐɾ bʱɐ͡ɪ̯ cʰodgɐ ɛkkɐɾe͡ɪ̯ hɔɽɐleʲɐ ko͡ɪ̯ɾot̪o cɐe̯ nɐ,amarɔ t͡ɕʰotɔ b̤ai ekɔd̪ɔmi pɔɽal̪ekʰa kɔrɔt̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,নোয়াখালী আর ভাই ছোডগা ইস্কুলে যাইতো চায় নাহ,noɟɐlɪ ɐɾ bʱɐ͡ɪ̯ cʰodgɐ ɪskule ɟɐ͡ɪ̯t̪o cɐe̯ nɐh,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e d͡zet̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,নোয়াখালী আর ছোড ভাইয়ের ইস্কুলে যাই হরালেয়া করতে চায় না,noɐkɔlɪ ɐɾ cʰod bʱɐ͡ɪ̯ʲeɾ ɪskule ɟɐ͡ɪ̯ hɔɾɐleʲɐ koɾt̪e cɐe̯ nɐ,amarɔ t͡ɕʰotɔ b̤aie̯erɔ bid̪d͡zal̪e̯e ɡie̯e pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,নোয়াখালী আই একদিন ইস্কুলের মাঠে মাতা ঘুরি হরি গেছিলাম,nokohɐlɪ ɐ͡ɪ̯ ɛkd̪ɪn ɪskuleɾ mɐtʰe mɐt̪ɐ gʱuɾɪ hoɾɪ gecʰɪlɐm,ami ekd̪in̪ɔ bid̪d͡zal̪e̯erɔ matʰe mat̪ʰa ̤ɡ̤urie̯e pɔre ɡie̯et͡ɕʰil̪am
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,নোয়াখালী আন্নে কি আরে কোনদিন ভালা বাইসতেন নো?,nokohɐlɪ ɐnne kɪ ɐɾe kond̪ɪn bʱɐlɐ bɐ͡ɪ̯ʃt̪en no?,apn̪i ki amake kon̪d̪in̪o b̤al̪bas̪ɔben̪ɔ n̪a ?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,নোয়াখালী আর বন্ধু আইজকা ফুটবল খেলছে,nokohɐlɪ ɐɾ bond̪ʱu ɐ͡ɪ̯ɟkɐ pʰutbɔl kʰelcʰe,amarɔ bɔn̪d̪̤u ad͡ʑke s̪ɔkal̪e ɸutɔbɔl̪ɔ kʰel̪et͡ɕʰe
তুমি আমার মনের কথা একদমই বুঝো না ,নোয়াখালী তুই আর মনের কতা এক্কারেই বুঝো নাহ,nokohɐlɪ t̪u͡ɪ̯ ɐɾ moneɾ kɔt̪ɐ ɛkkɐɾe͡ɪ̯ buɟʱo nɐh,t̪umi amarɔ mɔn̪erɔ kɔt̪ʰa ekɔd̪ɔmi bud͡ʑ̤o n̪a 
আমার আম্মু অনেক ভালো রান্না করে,নোয়াখালী আর মা এক্কারে অনেক ভালা রাইন্তো হারে, noɐkɔlɪ ɐɾ mɐ ɛkkɐɾe ɔnek bʱɐlɐ ɾɐ͡ɪ̯nt̪o hɐɾe,amarɔ ammu on̪ekɔ b̤al̪o ran̪n̪a kɔre
আমার বন্ধু এখন ঘুমাতে যাবে,নোয়াখালী আর বন্ধু ওনগা ঘুমাইতো যাইবো,noɟɐlɪ ɐɾ bond̪ʱu ongɐ gʱumɐ͡ɪ̯t̪o ɟɐ͡ɪ̯bo,amarɔ bɔn̪d̪̤u ekʰɔn̪ɔ ̤ɡ̤umat̪e d͡zabe
আমার ছোট বোন নাচতে পারে,নোয়াখালী আর বইন ছোডগা নাইচতো হারে,noɟɐlɪ ɐɾ bo͡ɪ̯n cʰodgɐ nɐ͡ɪ̯cɔt̪o hɐɾe,amarɔ t͡ɕʰotɔ bon̪ɔ n̪at͡ɕt̪e pare
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,নোয়াখালী আর বন্ধু এইবার ছুডিট রাজশাহী বেরাইতো যাইবো,noɟɐlɪ ɐɾ bond̪ʱu e͡ɪ̯bɐɾ cʰudɪt ɾɐɟʃɐhɪ beɾɐ͡ɪ̯t̪o ɟɐ͡ɪ̯bo,amarɔ bɔn̪d̪̤u eibarɔ t͡ɕʰutit̪e rad͡ʑɕahi ̤ɡ̤urt̪e d͡zabe
