bangla_speech,regional,regional_ipa,bangla_speech_ipa
তোমার আব্বু কেমন আছে?,সিলেট তোমার আব্বা বালা আছইন নি?,ʃɔlɔt t̪omɐɾ ɐbbɐ bɐlɐ ɐcʰo͡ɪ̯n nɪ?,t̪omarɔ abbu kemɔn̪ɔ at͡ɕʰe?
আমার বড় বোনের আজকে মন ভালো নেই,সিলেট আমার বড় বইনর আইজ মন ভালা নায়,ʃɔlhe ɐmɐɾ bɔɽo bo͡ɪ̯nɔɾ ɐ͡ɪ̯ɟ mon bʱɐlɐ nɐe̯,amarɔ bɔɽɔ bon̪erɔ ad͡ʑke mɔn̪ɔ b̤al̪o n̪ei
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,সিলেট তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,ʃɔlhe t̪umɪ kɪt̪ɐ moɾe e͡ɪ̯ kɐɟtɐ kɔɾɐ͡ɪ̯ d̪ɪt̪ɐ pɐɾbɐ nɪ?,t̪umi ki amake ei kad͡ʑti kɔre d̪it̪e parbe?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,সিলেট এই গরমো বাইরে বাইর অইতে জানে কয় না,ʃɔlhe e͡ɪ̯ gɔɾmo bɐ͡ɪ̯ɾe bɐ͡ɪ̯ɾ ɔ͡ɪ̯t̪e ɟɐne kɔe̯ nɐ,ei ɡɔrɔme bahire berɔ hɔt̪e it͡ɕt͡ɕʰa kɔre n̪a
তোমার সব কথাই ভুল,সিলেট তোমার সব মাত ভুল,ʃɔlhe t̪omɐɾ ʃɔb mɐt̪ bʱul,t̪omarɔ s̪ɔbɔ kɔt̪ʰai b̤ul̪
তোমার মত খারাপ ছেলে আমি আর একটাও দেখিনি,সিলেট তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,ʃɔlhe t̪omɐɾ mɔt̪ kʰɐɾɐpʰ puʲɐ mu͡ɪ̯ ɐɾ ɛktɐ͡o̯ d̪ekʰcʰɪ nɐ,t̪omarɔ mɔt̪ɔ kʰarapɔ t͡ɕʰel̪e ami arɔ ektao d̪ekʰin̪i
বিয়ের জন্য আম্মা আমার জন্য ছেলে খুজতাসে,সিলেট বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,ʃɔlho bɪʲɐɾ lɐgɪ mɐ͡ɪ̯ muɾ lɐgɪ pʰuʲɐ kʰuɟɪɾɐ,bie̯erɔ d͡ʑɔn̪d͡zɔ amma amarɔ d͡ʑɔn̪d͡zɔ t͡ɕʰel̪e kʰud͡ʑt̪as̪e
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,সিলেট আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,ʃɔlhe ɐbbɐ moɾe gɔt̪okɐl ɛk pʰuʲɐɾ lɔge d̪ɛkʰɐ koɾt̪e ko͡ɪ̯cʰɔlɐ,abba amake ɡɔt̪ɔkal̪ɔ ekta t͡ɕʰel̪erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e bɔl̪et͡ɕʰil̪
ছেলেটিকে আমার একদমই ভালো লাগেনি,সিলেট ফুয়াটারে মোর একদমই ভালা লাগে নাই,ʃɔlht pʰuʲɐtɐɾe moɾ ɛkd̪ɔmɪ bʱɐlɐ lɐge nɐ͡ɪ̯,t͡ɕʰel̪etike amarɔ ekɔd̪ɔmi b̤al̪o l̪aɡen̪i
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,সিলেট ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,ʃɔlho pʰuɾɪtɐ golɐpɪ ɾɔŋeɾ ʃɐɽɪ poɾɪʲɐ ɐ͡ɪ̯cʰɪlo,mee̯eti ɡol̪api rɔŋerɔ ɕaɽi pɔre es̪et͡ɕʰil̪
