bangla_speech,combined,ipa_output
তোমার আব্বু কেমন আছে?,Sylhet  তোমার আব্বা বালা আছইন নি?,ʃɔlɔt  t̪omɐɾ ɐbbɐ bɐlɐ ɐcʰo͡ɪ̯n nɪ?
আমার বড়  বোনের আজকে মন ভালো নেই,Sylhet  আমার বড় বইনর আইজ মন ভালা নায়,ʃɔlhe  ɐmɐɾ bɔɽo bo͡ɪ̯nɔɾ ɐ͡ɪ̯ɟ mon bʱɐlɐ nɐe̯
তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,Sylhet  তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,ʃɔlhe  t̪umɪ kɪt̪ɐ moɾe e͡ɪ̯ kɐɟtɐ kɔɾɐ͡ɪ̯ d̪ɪt̪ɐ pɐɾbɐ nɪ?
এই গরমে বাহিরে বের হতে ইচ্ছা করে না,Sylhet  এই গরমো বাইরে বাইর অইতে জানে কয় না,ʃɔlhe  e͡ɪ̯ gɔɾmo bɐ͡ɪ̯ɾe bɐ͡ɪ̯ɾ ɔ͡ɪ̯t̪e ɟɐne kɔe̯ nɐ
তোমার সব কথাই ভুল,Sylhet  তোমার সব মাত ভুল,ʃɔlhe  t̪omɐɾ ʃɔb mɐt̪ bʱul
তোমার মত খারাপ ছেলে আমি আর একটাও  দেখিনি,Sylhet  তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,ʃɔlhe  t̪omɐɾ mɔt̪ kʰɐɾɐpʰ puʲɐ mu͡ɪ̯ ɐɾ ɛktɐ͡o̯ d̪ekʰcʰɪ nɐ
বিয়ের জন্য আম্মা  আমার জন্য ছেলে  খুজতাসে,Sylhet  বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,ʃɔlho  bɪʲɐɾ lɐgɪ mɐ͡ɪ̯ muɾ lɐgɪ pʰuʲɐ kʰuɟɪɾɐ
আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,Sylhet  আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,ʃɔlhe  ɐbbɐ moɾe gɔt̪okɐl ɛk pʰuʲɐɾ lɔge d̪ɛkʰɐ koɾt̪e ko͡ɪ̯cʰɔlɐ
ছেলেটিকে আমার একদমই ভালো লাগেনি,Sylhet  ফুয়াটারে মোর একদমই ভালা লাগে নাই,ʃɔlht  pʰuʲɐtɐɾe moɾ ɛkd̪ɔmɪ bʱɐlɐ lɐge nɐ͡ɪ̯
মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,Sylhet  ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,ʃɔlho  pʰuɾɪtɐ golɐpɪ ɾɔŋeɾ ʃɐɽɪ poɾɪʲɐ ɐ͡ɪ̯cʰɪlo
আমার দুইদিন পরে বিয়ে হবে,Sylhet  আমার দুইদিন ফরে বিয়া অইবো,ʃɔlhe  ɐmɐɾ d̪u͡ɪ̯d̪ɪn pʰɔɾe bɪʲɐ ɔ͡ɪ̯bo
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,Sylhet  ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ʃɔlhe  pʰuʲɐtɐ ɛkʰon ɐɾ bɪkɐle kʰelɐt̪ bɐɾɔe̯ nɐ
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,Sylhet  ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,ʃɔlhe  pʰuɾɪtɐ ʃɔkɐle gʱum t̪ʰɐkɪ utʰe͡ɪ̯ pʰɔɾɐt̪ bɔe̯
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,Sylhet  আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,ʃɔlhe  ɐmɐɾ cɐcɐ bɪd̪eʃ t̪ʰɐkɪ gɔt̪okɐl bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe
