regional_text,bangla_speech,region_name,combined,ipa_output
বাংলাদেশত ৬৪ ইয়ান জেলা,বাংলাদেশে ৬৪ টা জেলা,Chittagong,Chittagong বাংলাদেশত ৬৪ ইয়ান জেলা,cɪtɐgon bɐŋlɐd̪eʃt̪ɔ bɔpo ɪʲɐn zelɐ
আরা বেয়াক্কুন গতহালিয়া বাইরে গেইলাম,আমরা সবাই গতকাল বাহিরে গিয়েছিলাম ,Chittagong,Chittagong আরা বেয়াক্কুন গতহালিয়া বাইরে গেইলাম,cɪtɐgon ɐɾɐ beʲɐkkun gɔt̪ohɐlɪʲɐ bɐ͡ɪ̯ɾe ge͡ɪ̯lɐm
তোইয়ার হতা বলার ধরণ বহুত সুন্দর,তোমার কথা বলার ধরন অনেক সুন্দর ,Chittagong,Chittagong তোইয়ার হতা বলার ধরণ বহুত সুন্দর,cɪtɐgon t̪o͡ɪ̯ʲɐɾ hɔt̪ɐ bɔlɐɾ d̪ʱɔɾon bohut̪ ʃund̪ɔɾ
বরিশালর মানুষ হইল্লে অয় দে?,বরিশালের মানুষ কেমন হয়? ,Chittagong,Chittagong বরিশালর মানুষ হইল্লে অয় দে?,cɪtɐgon boɾɪʃɐlɔɾ mɐnuʃ ho͡ɪ̯lle ɔe̯ d̪e?
 খুলনা জেলা কি বহুত সুন্দর নাকি?,খুলনা জেলা কি অনেক সুন্দর? ,Chittagong,Chittagong  খুলনা জেলা কি বহুত সুন্দর নাকি?,cɪtɐgon  kʰulnɐ ɟelɐ kɪ bohut̪ ʃund̪ɔɾ nɐkɪ?
 খুলনার মানুষ এইল্লে সুন্দর ন অয়,খুলনার মানুষ তেমন সুন্দর হয় না ,Chittagong,Chittagong  খুলনার মানুষ এইল্লে সুন্দর ন অয়,cɪtɐgon  xulnɐɾ mɐnuʃ e͡ɪ̯lle ʃund̪ɔɾ nɔ ɔe̯
হনস্মত ভাবি সাইয়িই আই ন থাকিলে তোয়ান কি অইতো?,কখনো ভেবে দেখেছ আমি না থাকলে তোমার কি হতো? ,Chittagong,Chittagong হনস্মত ভাবি সাইয়িই আই ন থাকিলে তোয়ান কি অইতো?,cɪtɐgon hɔnoʃmɔt̪ vɐbɪ ʃɐ͡ɪ̯ʲɪ͡ɪ̯ ɐ͡ɪ̯ nɔ t̪ʰɐkɪle t̪oʷɐn kɪ ɔ͡ɪ̯t̪o?
এতো ভাবিবার সময় হডে?,এতো ভাবার সময় কই? ,Chittagong,Chittagong এতো ভাবিবার সময় হডে?,cɪtɐgon et̪o vɐbɪbɐɾ ʃɔmɔe̯ hode?
দুফুরত রোদত আই কালো অই গিয়ি,দুপুরের রোদে আমি কালো হয়ে গেছি ,Chittagong,Chittagong দুফুরত রোদত আই কালো অই গিয়ি,cɪtɐgon d̪ufuɾt̪o ɾod̪ɔt̪ ɐ͡ɪ̯ kɐlo ɔ͡ɪ̯ gɪʲɪ
আই জানি তুই চিঠি ইবা এহনি ফরা শুরু গর,আমি জানি তুমি চিঠিটা এখনি পড়তে শুরু করবে,Chittagong,Chittagong আই জানি তুই চিঠি ইবা এহনি ফরা শুরু গর,cɪtɐgon ɐ͡ɪ̯ zɐnɪ t̪u͡ɪ̯ cɪtʰɪ ɪbɐ ehonɪ fɔɾɐ ʃuɾu gɔɾ
আম দি বানাইত্লেতারিবানা মু দিয়েরে ফারিবানা শরবন,আম দিয়ে বানিয়ে ফেলতে পারেন শরবত,Chittagong,Chittagong আম দি বানাইত্লেতারিবানা মু দিয়েরে ফারিবানা শরবন,cɪtɐgon ɐm d̪ɪ bɐnɐ͡ɪ̯t̪let̪ɐɾɪbɐnɐ mu d̪ɪʲeɾe pʰɐɾɪbɐnɐ ʃɔɾbon
আজিয়া স্কুলত তোয়ারারে কি ফরাইয়ে?,আজকে স্কুলে তোমাদের কি কি পড়িয়েছে? ,Chittagong,Chittagong আজিয়া স্কুলত তোয়ারারে কি ফরাইয়ে?,cɪtɐgon ɐzɪʲɐ skulɔt̪o t̪oʷɐɾɐɾe kɪ fɔɾɐ͡ɪ̯ʲe?
আর আগর হোনো হতা কিছুই মনত নাই ,আমার আগের কোনো কথা কিছুই মনে নেই  ,Chittagong,Chittagong আর আগর হোনো হতা কিছুই মনত নাই ,cɪtɐgon ɐɾ ɐgoɾ hono hɔt̪ɐ kɪcʰu͡ɪ̯ monot̪o nɐ͡ɪ̯ 
তুই এইল্লে অমনোযোগী অইলে ফরিক্ষাত ভালো ফলাফল ন গরিবা  ,তুমি এত অমনোযোগী হলে পরিক্ষায় ভালো ফলাফল করবে না  ,Chittagong,Chittagong তুই এইল্লে অমনোযোগী অইলে ফরিক্ষাত ভালো ফলাফল ন গরিবা  ,cɪtɐgon t̪u͡ɪ̯ e͡ɪ̯lle ɔmonozogɪ ɛ͡ɪ̯le foɾɪkxɐt̪o vɐlo fɔlɐfɔl nɔ goɾɪbɐ  
এই বিষয়ত কি গইত্তাম আই?,এই বিষয়ে কি করতে পারি আমি? ,Chittagong,Chittagong এই বিষয়ত কি গইত্তাম আই?,cɪtɐgon e͡ɪ̯ bɪʃɔʲt̪ kɪ gɪt̪t̪ɐm ɐ͡ɪ̯?
হায়রে মানুষ একজন আরেজনর ফ্রতি ইংসা গরে,হায়রে মানুষ একজন আরেকজনের প্রতি হিংসা করে,Chittagong,Chittagong হায়রে মানুষ একজন আরেজনর ফ্রতি ইংসা গরে,cɪtɐgon hɐʲɾe mɐnuʃ ɛkzon ɐɾezɔnoɾ fɾot̪ɪ ɪŋʃɐ goɾe
আই আর বাসার সামনদ্দি খেয়া খেলিবার মাঠ খেলা হাই,আমি আমার বাসার সামনের খেলার মাঠে খেলি ,Chittagong,Chittagong আই আর বাসার সামনদ্দি খেয়া খেলিবার মাঠ খেলা হাই,cɪtɐgon ɐ͡ɪ̯ ɐɾ bɐʃɐɾ ʃɐmonɔd̪d̪ɪ xeʲɐ xelɪbɐɾ mɐtʰ xelɐ hɐ͡ɪ̯
আম দিয়েরে শরবত বানাইয়েরে হ,আম দিয়ে শরবত বানিয়ে খাও ,Chittagong,Chittagong আম দিয়েরে শরবত বানাইয়েরে হ,cɪtɐgon ɐm d̪ɪʲeɾe ʃɔɾbot̪ bɐnɐ͡ɪ̯ʲeɾe ho
ঠান্ডা শরবত হাইলে গম লাইব দে তোয়ার,ঠাণ্ডা শরবত খেলে ভালো লাগবে তোমার ,Chittagong,Chittagong ঠান্ডা শরবত হাইলে গম লাইব দে তোয়ার,cɪtɐgon tʰɐndɐ ʃɔɾbot̪ hɐ͡ɪ̯le gɔm lɐ͡ɪ̯b d̪e t̪oʷɐɾ
এতোো চিন্তা ন লাগের নিজেরে লই চিন্তা গর,এতো চিন্তা করা লাগবে না নিজেরে নিয়ে ভাবো ,Chittagong,Chittagong এতোো চিন্তা ন লাগের নিজেরে লই চিন্তা গর,cɪnt̪ɐ nɔ lɐgeɾ nɪzeɾe lɔ͡ɪ̯ cɪnt̪ɐ gɔɾ
আমরে আরার দেশর ফলের রাজা হয় দে,আমকে আমাদের দেশে ‘ফলের রাজা’ বলা হয়,Chittagong,Chittagong আমরে আরার দেশর ফলের রাজা হয় দে,cɪtɐgon ɐmɾe ɐɾɐɾ d̪eʃɔɾ pʰɔleɾ ɾɐɟɐ hɔe̯ d̪e
তুই দেখতে সুন্দর ন অইলেও আই তোওারেই চাই,তুমি দেখতে সুন্দর না হলেও আমি তোমাকেই চাই,Chittagong,Chittagong তুই দেখতে সুন্দর ন অইলেও আই তোওারেই চাই,cɪtɐgon t̪u͡ɪ̯ d̪ext̪e ʃund̪ɔɾ nɔ ɛ͡ɪ̯le͡o̯ ɐ͡ɪ̯ t̪o͡o̯ɐɾe͡ɪ̯ cɐ͡ɪ̯
সেখানে বহুত পুলিশ দেহিয়েরে বাসার মিক্কা আইর,সেখানে অনেক পুলিশ দেখে বাসার দিকে ফিরছিলাম,Chittagong,Chittagong সেখানে বহুত পুলিশ দেহিয়েরে বাসার মিক্কা আইর,cɪtɐgon ʃexɐne bohut̪ pulɪʃ d̪ehɪʲeɾe bɐʃɐɾ mɪkkɐ ɐ͡ɪ̯ɾ
