regional_text,bangla_speech,region_name,combined,ipa_output
তোমার আব্বা বালা আছইন নি?,তোমার আব্বু কেমন আছে?,Sylhet ,Sylhet  তোমার আব্বা বালা আছইন নি?,ʃɔlɔt  t̪omɐɾ ɐbbɐ bɐlɐ ɐcʰo͡ɪ̯n nɪ?
আমার বড় বইনর আইজ মন ভালা নায়,আমার বড়  বোনের আজকে মন ভালো নেই,Sylhet ,Sylhet  আমার বড় বইনর আইজ মন ভালা নায়,ʃɔlhe  ɐmɐɾ bɔɽo bo͡ɪ̯nɔɾ ɐ͡ɪ̯ɟ mon bʱɐlɐ nɐe̯
তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,তুমি কি আমাকে এই কাজটি করে দিতে পারবে?,Sylhet ,Sylhet  তুমি কিতা মোরে এই কাজটা করাই দিতা পারবা নি?,ʃɔlhe  t̪umɪ kɪt̪ɐ moɾe e͡ɪ̯ kɐɟtɐ kɔɾɐ͡ɪ̯ d̪ɪt̪ɐ pɐɾbɐ nɪ?
এই গরমো বাইরে বাইর অইতে জানে কয় না,এই গরমে বাহিরে বের হতে ইচ্ছা করে না,Sylhet ,Sylhet  এই গরমো বাইরে বাইর অইতে জানে কয় না,ʃɔlhe  e͡ɪ̯ gɔɾmo bɐ͡ɪ̯ɾe bɐ͡ɪ̯ɾ ɔ͡ɪ̯t̪e ɟɐne kɔe̯ nɐ
তোমার সব মাত ভুল,তোমার সব কথাই ভুল,Sylhet ,Sylhet  তোমার সব মাত ভুল,ʃɔlhe  t̪omɐɾ ʃɔb mɐt̪ bʱul
তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,তোমার মত খারাপ ছেলে আমি আর একটাও  দেখিনি,Sylhet ,Sylhet  তোমার মত খারাফ পুয়া মুই আর একটাও দেখছি না,ʃɔlhe  t̪omɐɾ mɔt̪ kʰɐɾɐpʰ puʲɐ mu͡ɪ̯ ɐɾ ɛktɐ͡o̯ d̪ekʰcʰɪ nɐ
বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,বিয়ের জন্য আম্মা  আমার জন্য ছেলে  খুজতাসে,Sylhet ,Sylhet  বিয়ার লাগি মাই মুর লাগি ফুয়া খুজিরা,ʃɔlho  bɪʲɐɾ lɐgɪ mɐ͡ɪ̯ muɾ lɐgɪ pʰuʲɐ kʰuɟɪɾɐ
আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,আব্বা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিল,Sylhet ,Sylhet  আব্বা মোরে গতকাল এক ফুয়ার লগে দেখা করতে কইছলা,ʃɔlhe  ɐbbɐ moɾe gɔt̪okɐl ɛk pʰuʲɐɾ lɔge d̪ɛkʰɐ koɾt̪e ko͡ɪ̯cʰɔlɐ
ফুয়াটারে মোর একদমই ভালা লাগে নাই,ছেলেটিকে আমার একদমই ভালো লাগেনি,Sylhet ,Sylhet  ফুয়াটারে মোর একদমই ভালা লাগে নাই,ʃɔlht  pʰuʲɐtɐɾe moɾ ɛkd̪ɔmɪ bʱɐlɐ lɐge nɐ͡ɪ̯
ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,মেয়েটি গোলাপি রঙের শাড়ি পরে এসেছিল,Sylhet ,Sylhet  ফুরিটা গোলাপি রঙের শাড়ি পরিয়া আইছিল,ʃɔlho  pʰuɾɪtɐ golɐpɪ ɾɔŋeɾ ʃɐɽɪ poɾɪʲɐ ɐ͡ɪ̯cʰɪlo
আমার দুইদিন ফরে বিয়া অইবো,আমার দুইদিন পরে বিয়ে হবে,Sylhet ,Sylhet  আমার দুইদিন ফরে বিয়া অইবো,ʃɔlhe  ɐmɐɾ d̪u͡ɪ̯d̪ɪn pʰɔɾe bɪʲɐ ɔ͡ɪ̯bo
ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ছেলেটি এখন আর বিকালে খেলতে বের হয় না,Sylhet ,Sylhet  ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ʃɔlhe  pʰuʲɐtɐ ɛkʰon ɐɾ bɪkɐle kʰelɐt̪ bɐɾɔe̯ nɐ
ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,Sylhet ,Sylhet  ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,ʃɔlhe  pʰuɾɪtɐ ʃɔkɐle gʱum t̪ʰɐkɪ utʰe͡ɪ̯ pʰɔɾɐt̪ bɔe̯
আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,Sylhet ,Sylhet  আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,ʃɔlhe  ɐmɐɾ cɐcɐ bɪd̪eʃ t̪ʰɐkɪ gɔt̪okɐl bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe
আমার বাসার দারওয়ান অনেক ভালা মানুষ ,আমার বাসার দারওয়ান অনেক ভালো মানুষ,Sylhet ,Sylhet  আমার বাসার দারওয়ান অনেক ভালা মানুষ ,ʃɔlhe  ɐmɐɾ bɐʃɐɾ d̪ɐɾoʷɐn ɔnek bʱɐlɐ mɐnuʃ 
আমার বন্ধু খুলনা বেরানিত গেছইন,আমার বন্ধু খুলনা ঘুরতে গিয়েছে,Sylhet ,Sylhet  আমার বন্ধু খুলনা বেরানিত গেছইন,sɔlhe  ɐmɐɾ bond̪ʱu kʰulnɐ beɾɐnɪt̪o gecʰo͡ɪ̯n
আমার বেরাইতে অনেক ভালা লাগে,আমার ঘুরতে অনেক ভালো  লাগে,Sylhet ,Sylhet  আমার বেরাইতে অনেক ভালা লাগে,ʃɔlhe  ɐmɐɾ beɾɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge
মুই বিদেশে গিয়া অনেক বেরাইতে চাই,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,Sylhet ,Sylhet  মুই বিদেশে গিয়া অনেক বেরাইতে চাই,ʃɔlhe  mu͡ɪ̯ bɪd̪eʃe gɪʲɐ ɔnek beɾɐ͡ɪ̯t̪e cɐ͡ɪ̯
তুমি মোরে বিরক্ত করবা না,তুমি আমাকে বিরক্ত করো না,Sylhet ,Sylhet  তুমি মোরে বিরক্ত করবা না,ʃɔlhe  t̪umɪ moɾe bɪɾokt̪o koɾbɐ nɐ
তাইন মোরে অনেক অপমান করছইন,তিনি আমাকে অনেক অপমান করেছে,Sylhet ,Sylhet  তাইন মোরে অনেক অপমান করছইন,ʃɔlhe  t̪ɐ͡ɪ̯n moɾe ɔnek ɔpomɐn koɾcʰɪn
মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,Sylhet ,Sylhet  মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,ʃɔlhe  moɾ ʃɔkɐle utʰɪʲɐ bo͡ɪ̯ poɾt̪e ɔnek bʱɐlɐ lɐge
মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,Sylhet ,Sylhet  মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ ɛkd̪ɔmɪ pɔɽɐlekʰɐ koɾt̪e cɐ͡ɪ̯n nɐ
মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,আমার ছোট ভাই  বিদ্যালয়ে  যেতে চায় না,Sylhet ,Sylhet  মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,Sylhet ,Sylhet  মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ʲoɾ bɪd̪d̪ɐlɔʲe gɪʲɐ pɔɽɐlekʰɐ koɾt̪e bʱɐlɐ lɐge nɐnɪ
মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম ,আমি একদিন  বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,Sylhet ,Sylhet  মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম ,ʃɔlhe  mu͡ɪ̯ ɛkd̪ɪn bɪd̪d̪ɐlɔʲeɾ mɐtʰo mɐt̪ʰɐ gʱoɾɐ͡ɪ̯ʲɐ pʰoɾɪ gecʰɪlɐm 
আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,Sylhet ,Sylhet  আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,ʃɔlhe  ɐcʰone kɪt̪ɐ ɐmɐɾe konod̪ɪno bʱɐlɐ pʰɐ͡ɪ̯t̪ɐ nɐ
আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,Sylhet ,Sylhet  আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,ʃɔlhe  ɐmɐɾ bond̪ʱu ɐ͡ɪ̯ɟke ʃɔkɐle pʰutbɔl kʰelcʰe
তুমি আমার ভিতরর মাত একদমই বুঝো না,তুমি আমার মনের কথা একদমই বুঝো না ,Sylhet ,Sylhet  তুমি আমার ভিতরর মাত একদমই বুঝো না,ʃɔlhe  t̪umɪ ɐmɐɾ bʱɪt̪ɔɾɔɾ mɐt̪ ɛkd̪ɔmɪ buɟʱo nɐ
আমার মাই অনেক ভালা রান্দা করইন,আমার আম্মু অনেক ভালো রান্না করে,Sylhet ,Sylhet  আমার মাই অনেক ভালা রান্দা করইন, ʃɔlhe  ɐmɐɾ mɐ͡ɪ̯ ɔnek bʱɐlɐ ɾɐnd̪ɐ koɾɪn
আমার বন্ধু এখন হুতনো যাইবো,আমার বন্ধু এখন ঘুমাতে যাবে,Sylhet ,Sylhet  আমার বন্ধু এখন হুতনো যাইবো,ʃɔlhe  ɐmɐɾ bond̪ʱu ɛkʰon hut̪no ɟɐ͡ɪ̯bo
আমার ছোট বোইন নাচতে ফারে,আমার ছোট বোন নাচতে পারে,Sylhet ,Sylhet  আমার ছোট বোইন নাচতে ফারে,ʃɔlhe  ɐmɐɾ cʰoto boʲɔn nɐct̪e pʰɐɾe
আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,Sylhet ,Sylhet  আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো, ʃɔlhe  ɐmɐɾ bond̪ʱu ebɐɾ cʰutɪt̪e ɾɐɟʃɐhɪ pʰɐkɐnɪt̪o ɟɐ͡ɪ̯bo
আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,আমার বন্ধু  যাকে ভালবাসে  সে রাজশাহী থাকে,Sylhet ,Sylhet  আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,ʃɔlhe  ɐmɐɾ bond̪ʱu ɟɐɾe bʱɐlɐ pʰɐe̯ he ɾɐɟʃɐhɪ t̪ʰɐke
ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,মেয়েটি  রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,Sylhet ,Sylhet  ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,ʃɔlhe  pʰuɽɪtɐ ɾɐɟʃɐhɪ t̪ʰɐkɪ ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ʲoɾ lɔge d̪ɛkʰɐ kɔɾɐt̪ ɐ͡ɪ̯cʰɔlɐ
ফুড়িটা এখইন সিলট যাইবা,মেয়েটি এখন সিলেট যাবে,Sylhet ,Sylhet  ফুড়িটা এখইন সিলট যাইবা,ʃɔlho  pʰuɽɪtɐ exɪn sɪlɔt zɐ͡ɪ̯bɐ
আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,Sylhet ,Sylhet  আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,ʃɔlhe  ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ ekʰɪn heɾ bond̪ʱud̪eɾ lɔge ʃɪgɐɾet kʰɐe̯ nɐ
আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,Sylhet ,Sylhet  আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,sɔlhe  ɐcʰone kɪt̪ɐ ɐmɐɾe ɐge konod̪ɪn d̪ekʰcʰɪlɐnɪ
আফনে কিতা আমারে চিনইন নি,আপনি কি আমাকে চিনতে পেরেছেন?,Sylhet ,Sylhet  আফনে কিতা আমারে চিনইন নি,sɪhet  ɐcʰone kɪt̪ɐ ɐmɐɾe cɪnɪn nɪ
ফুয়াটায় আমারে চিনতে ফারলো না,ছেলেটি আমাকে চিনতে পারল না,Sylhet ,Sylhet  ফুয়াটায় আমারে চিনতে ফারলো না,ʃɔlhe  pʰuʲɐtɐe̯ ɐmɐɾe cɪnt̪e pʰɐɾlo nɐ
ফুড়িটায় তোমারে চিনতে ফারলো না,মেয়েটি তোমাকে  চিনতে পারল না,Sylhet ,Sylhet  ফুড়িটায় তোমারে চিনতে ফারলো না,ʃɔlhe  pʰuɽɪtɐe̯ t̪omɐɾe cɪnt̪e pʰɐɾlo nɐ
আমার এখইন ফড়ালেখা করা উচিৎ,আমার এখন পড়ালেখা করা উচিত,Sylhet ,Sylhet  আমার এখইন ফড়ালেখা করা উচিৎ,ʃɔlhe  ɐmɐɾ exɪn fɔɽɐlexɐ kɔɾɐ ucɪt̪
অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,Sylhet ,Sylhet  অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,ʃɔlhe  ɔnek ɾɐ͡ɪ̯t̪o e͡ɪ̯cʰe ekʰɪn ɐmɐɾ cʰoto boʲɔn gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯bo
আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,Sylhet ,Sylhet  আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,ʃɔlhe  ɐmɐke poɾɪkkʰɐɾ ɐge hokol kɪcʰu nɪʲɐ pʰɔɽɐlekʰɐ koɾt̪o ɔ͡ɪ̯bo
আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,আমার ছোট ভাই বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Sylhet ,Sylhet  আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,ʃɔlhe  ɐmɐɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ gɪʲɐ bond̪ʱud̪eɾ lɔge gɔlpo koɾɪn
আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট  খেলইন,আমার বন্ধু বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Sylhet ,Sylhet  আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট  খেলইন,ʃɔlhe  ɐmɐɾ bond̪ʱu bɪd̪d̪ɐlɔʲeɾ mɐtʰo pʰot̪ɪd̪ɪn kɾɪket  kʰelɪn
একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,Sylhet ,Sylhet  একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,ʃɔlhe  ɛktɐ cʰoto bɐ͡ɪ̯ccɐ pʰutpɐt̪e lɐpʰɐ͡ɪ̯ɾɐ
আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,Sylhet ,Sylhet  আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,ʃɔlhe  ɐmɐɾ bɐnd̪ʱobɪ t̪ɐɾ ʃɐmɪɾe kʰub bʱɐlɐ pʰɐe̯
আমার স্ত্রী আমারে ভালা ফায় না,আমার স্ত্রী আমাকে  ভালোবাসে না,Sylhet ,Sylhet  আমার স্ত্রী আমারে ভালা ফায় না,ʃɔlho  ɐmɐɾ st̪ɾɪ ɐmɐɾe bʱɐlɐ pʰɐe̯ nɐ
স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের  প্রেম ছিলো,Sylhet ,Sylhet  স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ʃɔlho  skul ɟɪbɔn t̪ʰɐkɪ ɐmɐɾ bʱɐ͡ɪ̯ʲoɾ lɔge t̪omɐɾ boʲɔnoɾ pɾem ɐcʰɪlo
আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,Sylhet ,Sylhet  আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,ʃɔlhe  ɐmɐɾ gɔt̪okɐ͡ɪ̯l pɾocɔnd mɐt̪ʰɐ bed̪onɐ koɾcʰɪlo
মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,Sylhet ,Sylhet  মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,ʃɔlhe  mu͡ɪ̯ t̪omɐɾ kon mɐt̪ kɪccʰu͡ɪ̯ buɟʱt̪e pʰɐɾlɐm nɐ
তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,তোমার  হাশির কাছে আমার সব কিছু হার মেনে যায়,Sylhet ,Sylhet  তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,ʃɔlhe  t̪omɐɾ hɐʃɪɾ kɐcʰe ɐmɐɾ hokol kɪcʰu hɐɾ mɐnɪʲɐ ɟɐe̯
তোমার চোউক দুইটা অনেক সুন্দর ,তোমার  চোখ দুটো অনেক সুন্দর,Sylhet ,Sylhet  তোমার চোউক দুইটা অনেক সুন্দর ,ʃɔlhe  t̪omɐɾ co͡u̯k d̪u͡ɪ̯tɐ ɔnek ʃund̪ɔɾ 
তোমার লগে অনেক দিন পর দেখা,তোমার সাথে অনেক দিন পর  দেখা,Sylhet ,Sylhet  তোমার লগে অনেক দিন পর দেখা,ʃɔlhe  t̪omɐɾ lɔge ɔnek d̪ɪn pɔɾ d̪ɛkʰɐ
ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ছেলেটি  বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,Sylhet ,Sylhet  ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ʃɔlhe  pʰuʲɐtɐ bɪd̪oʃo gɪʲɐ pʰɔɽɐlekʰɐ kɔɾɐɾ ʃɔpno d̪ekʰe
তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে,তোমার  সাথে কথা বলে আমার অনেক ভালো লাগলো,Sylhet ,Sylhet  তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে, ʃɔlhe  t̪omɐɾ lɔge mɐt̪ɪʲɐ ɐmɐɾ ɔnek bʱɐlɐ lɐgcʰe
তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,তোমার বন্ধুর সাথে পরিচিত হয়ে  ভালো লাগলো,Sylhet ,Sylhet  তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,ʃɔlhe  t̪omɐɾ bond̪ʱuɾ lɔge poɾɪcɔt̪o ho͡ɪ̯ʲɐ bʱɐlɐ lɐglo
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Sylhet ,Sylhet  আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,ʃɔlhe  ɐmɐɾ ɐbbu ɐɾ cɐcɐɾ mod̪d̪ʱe ɟɐʲgɐ ɟomɪ nɪʲɐ mɐ͡ɪ̯ɾ ɔe̯
লোকটা কিছুদিন আগে বিয়া করছইন,লোকটি কিছু দিন আগে  বিয়ে করেন,Sylhet ,Sylhet  লোকটা কিছুদিন আগে বিয়া করছইন,ʃɔlhe  loktɐ kɪcʰud̪ɪn ɐge bɪʲɐ koɾcʰo͡ɪ̯n
প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,Sylhet ,Sylhet  প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,ʃɔlhe  pɾot̪ʰome t̪omɐke ɛktɐ bo͡ɪ̯ʲeɾ d̪okʰɐno ɟɐ͡ɪ̯t̪e ho͡ɪ̯bo
বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,বেশি কিছু বলার আগেই  আবেগে চোখে পানি চলে আসছে,Sylhet ,Sylhet  বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,ʃɔlhe  beʃɪ kɪcʰu bɔlɐɾ ɐge͡ɪ̯ ɐbege co͡u̯k eɾ pʰɐnɪ cɔle ɐ͡ɪ̯t̪ecʰe
আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,Sylhet ,Sylhet  আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,ʃɔlhe  ɐpʰnɐɾ bond̪ʱud̪eɾ gɐlɪ d̪e͡o̯ʷɐɾ ʃuɟe͡ɐ̯g ko͡ɪ̯ɾɐ d̪ɪn
অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,Sylhet ,Sylhet  অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,ʃɔlhe  ɔnek mɐnuʃ exono pecʰono lɐ͡ɪ̯no d̪ɐ̃ɽɪʲɐ ɐcʰo͡ɪ̯n
একজন বেডি মারা গেছইন,একজন মহিলা  মারা গেছেন,Sylhet ,Sylhet  একজন বেডি মারা গেছইন,ʃɔlhe  ɛkɟon bedɪ mɐɾɐ gecʰo͡ɪ̯n
আফনি এত গরীব আগে কেনে কইলা না,আপনি  এত গরীব আগে কেন বলেননি,Sylhet ,Sylhet  আফনি এত গরীব আগে কেনে কইলা না,ʃɔlhe  ɐcʰonɪ ɛt̪o goɾɪb ɐge kene ko͡ɪ̯lɐ nɐ
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,Sylhet ,Sylhet  তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,ʃɔlhe  t̪umɪ cʰɐɽɐ e͡ɪ̯ pɾɪt̪ʰɪbɪt̪e ɐmɐɾ ɐɾ ke͡u̯ nɐ͡ɪ̯
